N	2gram	Nazirov_Vr_1	Narrotol
1	не только	9	26
2	но и	7	15
3	тогда как	2	15
4	в том	3	14
5	при этом	4	14
6	и не	5	14
7	том что	3	13
8	и в	8	13
9	в этом	8	13
10	может быть	4	10
11	а в	2	9
12	то что	7	8
13	в себе	2	8
14	не может	2	8
15	к себе	2	7
16	никогда не	2	6
17	в своем	3	6
18	в его	3	6
19	и т.п	2	6
20	все же	6	6
21	у него	5	6
22	как бы	4	6
23	а также	2	6
24	но в	6	6
25	место в	2	5
26	точки зрения	2	5
27	что он	4	5
28	он не	3	5
29	в котором	6	5
30	я не	3	5
31	в нем	6	5
32	таким образом	2	5
33	в той	2	5
34	в то	5	5
35	далеко не	3	5
36	о том	4	5
37	ответ на	2	5
38	не менее	2	4
39	отнюдь не	2	4
40	в глазах	2	4
41	в конце	3	4
42	об этом	5	4
43	же в	2	4
44	как и	6	4
45	что в	7	4
46	для него	2	4
47	и уже	3	4
48	в своей	2	4
49	то же	5	4
50	уже не	2	4
51	в мире	2	4
52	и у	3	4
53	в этой	2	4
54	и все	7	4
55	с ним	4	4
56	в известном	2	3
57	с его	3	3
58	это не	4	3
59	о которой	2	3
60	что я	2	3
61	одна из	2	3
62	же время	5	3
63	как раз	2	3
64	о нем	6	3
65	и даже	6	3
66	и его	3	3
67	между тем	5	3
68	он сам	2	2
69	же как	2	2
70	о чем	2	2
71	что у	3	2
72	столь же	2	2
73	с нею	2	2
74	в свою	2	2
75	на то	3	2
76	для нас	4	2
77	в начале	6	2
78	тем более	2	2
79	еще не	2	2
80	и он	2	2
81	несмотря на	4	2
82	в него	2	2
83	раз в	3	2
84	давно уже	3	2
85	в лицо	2	2
86	а с	2	2
87	достоевского и	7	2
88	и что	8	2
89	с точки	2	2
90	так же	4	2
91	в чем	3	2
92	но это	2	2
93	в ней	4	2
94	за границей	2	2
95	но он	3	2
96	в своих	4	2
97	во время	2	2
