N	2gram	Berdyaev_V_1	Psycholo
1	то что	9	32
2	и в	16	31
3	в том	3	30
4	и т	2	26
5	что в	3	23
6	так как	9	18
7	как и	4	16
8	том что	2	16
9	и не	20	16
10	только в	2	14
11	а не	7	13
12	не только	2	13
13	что и	3	13
14	мы не	2	12
15	в этом	4	12
16	могут быть	2	11
17	не в	3	11
18	того что	5	10
19	потому что	4	10
20	ни в	3	9
21	никогда не	3	8
22	все это	5	8
23	т д	2	8
24	и что	3	8
25	во всяком	2	8
26	что мы	4	8
27	что он	4	7
28	того чтобы	2	7
29	вслед за	2	6
30	а в	2	6
31	в его	4	6
32	и есть	4	5
33	и все	4	5
34	для нас	2	5
35	как бы	5	5
36	и для	3	5
37	к тому	3	4
38	в котором	4	4
39	прежде всего	2	4
40	тому что	3	4
41	что я	3	4
42	одна из	2	4
43	один из	2	4
44	в этих	3	4
45	между тем	2	4
46	не могут	2	3
47	с тем	2	3
48	его и	2	3
49	что все	4	3
50	должна быть	3	3
51	но это	3	3
52	не будет	2	3
53	но не	2	3
54	все что	4	3
55	хотя и	5	3
56	но мы	2	3
57	не есть	6	3
58	жизни и	3	3
59	в своей	3	3
60	так и	4	3
61	не было	3	3
62	в конце	3	3
63	и это	2	3
64	это все	2	3
65	но в	3	3
66	тот кто	2	2
67	по этому	3	2
68	в них	3	2
69	и во	2	2
70	человека и	6	2
71	в жизни	3	2
72	ее и	2	2
73	и теперь	2	2
74	с ним	2	2
75	уже не	2	2
76	и потому	7	2
77	что они	7	2
78	это мы	2	2
79	тот же	3	2
80	в нем	4	2
81	я думаю	2	2
82	но и	5	2
83	и тогда	2	2
84	что есть	5	2
85	в себя	2	2
86	к чему	3	2
87	от него	2	2
88	его не	2	2
89	в чем	3	2
90	их в	3	2
91	бы и	3	2
92	и то	2	2
93	их от	3	2
