N	2gram	Medvedev_U_1	Tvorches
1	и в	14	20
2	не только	10	13
3	в его	2	10
4	таким образом	2	10
5	в то	3	10
6	и не	8	9
7	прежде всего	8	8
8	в том	2	8
9	но и	4	8
10	может быть	6	8
11	в этом	7	8
12	и с	2	8
13	это не	3	7
14	же время	3	7
15	не может	7	7
16	то же	5	7
17	в конце	2	6
18	что он	2	6
19	как и	3	6
20	в своей	3	6
21	все это	5	6
22	а не	10	6
23	но это	2	5
24	но не	2	5
25	все же	3	5
26	в этой	4	5
27	мы не	2	4
28	том что	2	4
29	что она	2	4
30	по нашему	3	4
31	если не	2	4
32	нашему мнению	3	4
33	не в	2	4
34	ничего не	2	4
35	если бы	2	4
36	но в	3	4
37	превращается в	2	3
38	для него	3	3
39	в самом	2	3
40	то что	7	3
41	сих пор	2	3
42	в их	4	3
43	и через	2	3
44	одним из	2	3
45	тем что	2	3
46	в себе	2	3
47	между тем	2	3
48	до сих	2	3
49	это уже	2	2
50	думается что	2	2
51	его и	2	2
52	с другой	4	2
53	по крайней	2	2
54	крайней мере	2	2
55	в искусстве	6	2
56	у нас	3	2
57	в частности	3	2
58	сводится к	2	2
59	самом деле	2	2
60	и у	2	2
61	другой стороны	3	2
62	не столько	2	2
63	не случайно	2	2
64	могут быть	2	2
65	и только	5	2
66	только в	2	2
67	в россии	4	2
68	же не	2	2
