N	2gram	Losev_Dial_1	NovoeSre
1	а не	14	17
2	не может	12	16
3	и в	18	16
4	и не	30	11
5	и есть	16	10
6	что в	13	9
7	в эпоху	2	9
8	жизни и	3	8
9	как не	2	8
10	он не	3	8
11	в том	9	8
12	как и	2	7
13	это есть	9	7
14	в этом	12	7
15	может быть	17	7
16	никогда не	9	6
17	не знает	2	6
18	не в	6	6
19	но это	8	6
20	ни в	15	6
21	от бога	3	6
22	в нем	16	5
23	все это	11	5
24	мы живем	2	5
25	в ней	3	5
26	не только	13	5
27	не менее	2	4
28	то что	13	4
29	в них	3	4
30	это не	9	4
31	и все	3	4
32	не было	6	4
33	быть может	4	4
34	не имеет	15	4
35	и для	2	4
36	должно быть	3	4
37	потому что	14	4
38	прежде всего	10	4
39	и мы	5	4
40	о том	4	4
41	значит что	14	4
42	и потому	3	4
43	но и	7	3
44	не есть	40	3
45	не существует	7	3
46	должна быть	3	3
47	в своей	2	3
48	с другой	6	3
49	вопрос о	2	3
50	стремится к	2	3
51	и пр	5	3
52	к тому	4	3
53	что такое	10	3
54	в мире	2	3
55	в основе	3	3
56	конечно не	3	3
57	как в	2	3
58	она не	6	3
59	еще не	2	3
60	сказать что	10	3
61	к ним	2	3
62	исторической эпохи	2	3
63	не значит	3	3
64	это было	2	3
65	я не	5	2
66	нем нет	3	2
67	но она	3	2
68	так и	9	2
69	что она	7	2
70	для этого	2	2
71	мысли и	3	2
72	другой стороны	4	2
73	и от	2	2
74	мы говорим	4	2
75	а в	5	2
76	с одной	2	2
77	этом смысле	3	2
78	все эти	2	2
79	думать что	3	2
80	в одну	3	2
81	быть в	2	2
82	уже не	2	2
83	такой же	2	2
84	одной стороны	2	2
85	не хотят	3	2
86	и даже	13	2
87	хотя бы	6	2
88	но не	4	2
89	ни к	2	2
90	так же	4	2
91	это и	4	2
92	время как	2	2
93	том что	9	2
94	можно было	5	2
95	же как	2	2
96	и с	5	2
97	и что	12	2
98	могут быть	3	2
99	с этим	2	2
100	в себе	11	2
101	ли это	3	2
102	в то	6	2
103	меня это	2	2
104	и это	2	2
105	для чего	2	2
106	к богу	3	2
107	как это	4	2
108	мысли в	2	2
109	хотя и	4	2
110	но в	6	2
111	помнить что	2	2
