N	2gram	Trubetskoy_1	Otkroven
1	у него	5	22
2	и в	23	19
3	но и	9	13
4	и не	8	13
5	в этом	12	12
6	не в	8	11
7	может быть	16	11
8	не только	7	11
9	и все	7	10
10	вопрос о	3	10
11	в нем	3	10
12	никогда не	4	9
13	не было	2	9
14	в самой	2	9
15	потому что	9	9
16	прежде всего	3	9
17	лишь в	5	7
18	от него	3	7
19	он не	3	7
20	в его	5	7
21	все это	11	6
22	как и	9	6
23	него в	2	5
24	то что	18	5
25	а в	3	5
26	отношение к	4	5
27	в том	30	5
28	для него	2	5
29	в этой	6	5
30	в самом	8	5
31	на земле	3	4
32	того чтобы	8	4
33	все в	2	4
34	все эти	19	4
35	не может	17	4
36	что в	8	4
37	к нему	2	3
38	не могут	4	3
39	в этих	3	3
40	только одно	2	3
41	это не	3	3
42	что он	7	3
43	того что	6	3
44	для того	8	3
45	хотя бы	4	3
46	в своих	2	3
47	еще не	5	3
48	и от	5	3
49	все что	9	3
50	во имя	3	3
51	и ее	2	3
52	в себе	5	3
53	было бы	3	3
54	более всего	2	3
55	никто не	2	3
56	о том	7	3
57	с ним	6	3
58	как бы	10	3
59	все же	13	2
60	что и	7	2
61	не есть	2	2
62	и для	6	2
63	с тем	2	2
64	можно ли	2	2
65	в истории	3	2
66	так и	10	2
67	не очень	2	2
68	в своем	10	2
69	что у	2	2
70	что же	2	2
71	как к	5	2
72	что все	5	2
73	к этому	5	2
74	и к	5	2
75	ко всем	3	2
76	о которой	2	2
77	должно быть	4	2
78	в которой	5	2
79	что для	4	2
80	том что	19	2
81	так что	5	2
82	в другом	2	2
83	и на	6	2
84	и то	4	2
85	что они	2	2
86	и с	5	2
87	чем в	3	2
88	одно из	3	2
89	его в	5	2
90	так как	7	2
91	и из	2	2
92	хотя и	4	2
93	которую он	2	2
94	но в	4	2
95	и потому	3	2
