N	2gram	Propp_Isto_4	Problemy
1	и в	26	35
2	как бы	3	31
3	и не	9	27
4	что он	10	24
5	в его	5	21
6	но в	5	19
7	не может	6	18
8	к себе	3	18
9	как и	7	18
10	в нем	2	16
11	то же	8	15
12	и все	2	15
13	но и	12	14
14	может быть	14	14
15	все это	2	14
16	и его	10	14
17	в этом	7	14
18	к нему	6	13
19	что я	2	13
20	он не	7	13
21	и с	5	12
22	в другом	5	12
23	не в	5	10
24	не только	15	10
25	то что	16	10
26	так и	10	8
27	потому что	6	8
28	мы уже	5	8
29	все же	9	8
30	как мы	5	8
31	лишь в	2	7
32	так же	18	7
33	а в	8	7
34	вовсе не	4	7
35	еще не	6	7
36	в виде	2	7
37	там где	3	7
38	таким образом	10	7
39	что в	14	6
40	но это	3	6
41	что они	6	6
42	и что	5	6
43	отношение к	2	6
44	что у	3	6
45	и на	2	6
46	в одном	5	6
47	от него	2	6
48	но не	5	6
49	только в	3	6
50	в том	3	5
51	так что	2	5
52	знает и	2	5
53	и даже	4	5
54	с ними	5	5
55	во время	7	5
56	его с	2	5
57	этого слова	2	5
58	даже в	4	5
59	на него	3	5
60	как в	7	5
61	к своему	3	5
62	героя в	7	5
63	и то	6	5
64	в себе	2	5
65	никогда не	2	4
66	с другой	4	4
67	сливается с	2	4
68	но все	5	4
69	на его	3	4
70	вот как	2	4
71	и вот	2	4
72	но он	4	4
73	его в	9	4
74	так как	9	4
75	у него	5	4
76	по себе	2	4
77	меня не	3	4
78	во всем	3	4
79	в своей	4	4
80	это он	2	4
81	а не	6	4
82	и у	5	4
83	тем что	5	4
84	он в	4	4
85	что это	2	4
86	из своего	3	4
87	уже в	2	3
88	его к	3	3
89	в целом	2	3
90	из них	2	3
91	другой стороны	4	3
92	его и	2	3
93	в форме	2	3
94	в одной	3	3
95	все эти	3	3
96	не мог	3	3
97	того что	2	3
98	это не	5	3
99	сказать что	2	3
100	и во	2	3
101	даже и	2	3
102	мы должны	5	3
103	человека с	3	3
104	с миром	3	3
105	этого не	2	3
106	с тем	2	3
107	с этим	2	3
108	это и	5	3
109	том что	3	3
110	было бы	2	3
111	он уже	2	3
112	что и	9	3
113	когда он	6	3
114	только что	3	3
115	уже не	5	3
116	которой он	2	3
117	только с	2	3
118	ничего не	5	3
119	не менее	2	2
120	на вопрос	3	2
121	это уже	2	2
122	в этих	7	2
123	с этой	2	2
124	переходит в	3	2
125	вопрос о	4	2
126	что на	2	2
127	мы знаем	8	2
128	ни в	2	2
129	такое же	4	2
130	в дальнейшем	6	2
131	такого же	2	2
132	на этом	2	2
133	при этом	3	2
134	например в	3	2
135	хотя и	2	2
136	мы видели	6	2
137	в своем	2	2
138	на которой	2	2
139	те же	3	2
140	не просто	4	2
141	но эта	4	2
142	и по	5	2
143	есть только	3	2
144	увидим что	2	2
145	но для	2	2
146	в которых	4	2
147	их в	7	2
148	по своей	2	2
149	о том	4	2
150	как он	6	2
151	а как	2	2
152	в этот	4	2
153	смысле этого	2	2
154	однако в	2	2
155	с собой	5	2
156	не хочет	2	2
157	а затем	3	2
158	мы увидим	3	2
159	конечно не	2	2
160	еще один	2	2
161	себя в	2	2
162	вместе с	6	2
163	говорит о	2	2
164	так в	4	2
165	на этот	2	2
166	и он	3	2
167	и как	5	2
168	хотя бы	2	2
169	или в	3	2
170	не случайно	2	2
171	связан с	3	2
172	мы можем	6	2
173	между двумя	12	2
174	ты меня	3	2
