N	2gram	Berdyaev_V_1	Hudozhes
1	том что	2	16
2	и в	16	14
3	так и	4	13
4	а не	7	12
5	в том	3	12
6	не только	2	12
7	прежде всего	2	11
8	и т	2	11
9	в этом	4	11
10	для него	2	10
11	в своей	3	10
12	что он	4	9
13	как и	4	9
14	то что	9	8
15	между тем	2	8
16	в его	4	8
17	это не	2	7
18	к тому	3	7
19	уже не	2	7
20	не в	3	7
21	еще не	8	7
22	как бы	5	7
23	а в	2	7
24	никогда не	3	6
25	что в	3	6
26	с его	3	5
27	в этих	3	5
28	только в	2	5
29	но и	5	5
30	жизни и	3	5
31	можно было	2	5
32	потому что	4	5
33	ни в	3	5
34	но в	3	5
35	тому что	3	4
36	и все	4	4
37	в духе	2	4
38	в ней	4	4
39	один из	2	4
40	не было	3	4
41	того что	5	4
42	в конце	3	4
43	и это	2	4
44	с ним	2	4
45	но не	2	3
46	превращается в	3	3
47	в мире	5	3
48	говорить о	4	3
49	от него	2	3
50	в нем	4	3
51	т д	2	3
52	и для	3	3
53	все эти	3	3
54	лишь в	3	3
55	того чтобы	2	3
56	тем что	2	3
57	и потому	7	2
58	в себя	2	2
59	да и	2	2
60	одна из	2	2
61	и что	3	2
62	они в	3	2
63	вместо того	2	2
64	хотя и	5	2
65	на том	2	2
66	в форме	2	2
67	все это	5	2
68	а с	2	2
69	все равно	2	2
70	и не	20	2
71	что не	4	2
72	не имеет	3	2
73	должно быть	3	2
74	личности и	3	2
75	в первый	3	2
76	что я	3	2
77	за ним	3	2
78	нет ничего	3	2
79	мы не	2	2
