N	2gram	Voloshinov_1	Freidism
1	таким образом	12	24
2	и не	10	23
3	не может	16	20
4	точки зрения	14	19
5	прежде всего	8	18
6	и пр	3	15
7	в этом	4	15
8	в его	2	15
9	с помощью	6	14
10	в душе	2	13
11	мы можем	2	13
12	может быть	14	13
13	и его	13	12
14	как и	5	11
15	как бы	13	11
16	то что	5	11
17	все эти	3	11
18	с точки	2	11
19	и потому	2	10
20	так и	4	10
21	самом деле	3	10
22	его в	4	10
23	с ним	3	10
24	но в	5	10
25	с его	2	9
26	и в	12	9
27	по отношению	11	9
28	отношению к	11	8
29	еще не	3	8
30	в своей	3	8
31	он не	2	8
32	не только	4	8
33	все это	3	8
34	то же	5	8
35	только в	6	8
36	и все	2	8
37	так как	9	8
38	ни в	3	7
39	к нему	4	7
40	отношение к	4	7
41	в самом	4	7
42	те же	2	7
43	и наконец	3	7
44	сказать что	7	7
45	никогда не	5	6
46	точку зрения	2	6
47	и ее	3	6
48	для него	3	6
49	за пределы	4	6
50	того что	3	6
51	в ней	6	6
52	хотя бы	5	6
53	и с	3	6
54	и к	4	5
55	связь с	2	5
56	но мы	2	5
57	можно сказать	5	5
58	не в	4	5
59	в чем	2	5
60	в то	2	5
61	что в	2	5
62	но и	3	5
63	на самом	4	5
64	в себя	2	5
65	и на	4	5
66	могут быть	2	5
67	в каком	3	5
68	не менее	3	4
69	но не	2	4
70	в котором	3	4
71	и др	5	4
72	в этих	2	4
73	то ни	3	4
74	в пределах	3	4
75	в жизни	5	4
76	с другими	2	4
77	нашего сознания	2	4
78	при этом	6	4
79	конечно не	3	4
80	от того	4	4
81	в зависимости	2	4
82	в нем	6	4
83	все же	4	4
84	данном случае	2	4
85	между ними	2	4
86	уже не	4	4
87	и для	3	4
88	мы не	3	4
89	в данном	2	4
90	себя и	2	4
91	зависимости от	4	4
92	если бы	9	3
93	в них	3	3
94	от всех	2	3
95	конечно в	2	3
96	в себе	3	3
97	это как	3	3
98	но это	2	3
99	выражение и	2	3
100	она не	2	3
101	ни на	2	3
102	в психике	2	3
103	бы то	3	3
104	жизни и	4	3
105	когда он	3	3
106	на него	2	3
107	вместе с	2	3
108	и те	2	3
109	как в	5	3
110	и что	2	3
111	можем сказать	2	3
112	и по	3	3
113	мы имеем	2	3
114	такой же	2	3
115	может стать	2	3
116	слова и	6	3
117	художественной формы	5	2
118	этих двух	2	2
119	в отношении	2	2
120	уже в	2	2
121	зависит от	2	2
122	но все	2	2
123	и другие	2	2
124	быть и	3	2
125	в нашем	11	2
126	между собой	2	2
127	в какой	2	2
128	с другой	4	2
129	это не	2	2
130	оно не	2	2
131	формы и	3	2
132	к этому	2	2
133	в такой	3	2
134	же самое	2	2
135	и уже	3	2
136	тем не	3	2
137	для нас	7	2
138	до конца	2	2
139	да и	3	2
140	влияние на	2	2
141	ни было	4	2
142	в основном	2	2
143	том что	5	2
144	более того	2	2
145	а не	5	2
146	не остается	2	2
147	социальной жизни	2	2
148	одной стороны	2	2
149	на один	2	2
150	что мы	5	2
151	но для	3	2
152	в процессе	6	2
153	относится к	2	2
154	в своем	2	2
155	точка зрения	3	2
156	как не	2	2
157	выражение в	2	2
158	сих пор	3	2
159	все они	2	2
160	той социальной	2	2
161	только на	3	2
162	с одной	2	2
163	внутренней речи	3	2
164	социальной группы	3	2
165	свое выражение	4	2
166	и притом	2	2
167	так же	3	2
168	как на	2	2
169	социального общения	4	2
170	и то	2	2
171	нуждается в	3	2
172	вещи и	2	2
173	что и	2	2
174	к его	2	2
175	и вообще	3	2
176	до сих	3	2
177	и самое	2	2
178	как это	2	2
179	в момент	2	2
180	в виду	5	2
