N	2gram	Vygotskiy__2	EvropaiC
1	таким образом	14	32
2	в том	33	31
3	и в	15	24
4	том что	27	20
5	все эти	3	19
6	не может	9	18
7	то что	20	17
8	может быть	9	15
9	все же	4	15
10	точки зрения	26	13
11	в своем	9	12
12	самом деле	6	12
13	в этом	19	12
14	все это	4	11
15	с этим	3	11
16	отношению к	5	10
17	мы знаем	7	10
18	как бы	7	10
19	по отношению	6	10
20	все что	5	10
21	во всех	2	10
22	так и	8	10
23	на то	6	9
24	при этом	3	9
25	друг с	2	9
26	в результате	3	9
27	как и	6	9
28	того же	3	9
29	с другом	2	9
30	что в	14	9
31	не в	8	8
32	в самом	11	8
33	так же	4	8
34	если бы	8	8
35	и все	3	8
36	с точки	18	8
37	для этого	3	7
38	к тому	7	7
39	но и	10	7
40	и не	7	7
41	и что	8	7
42	из этих	4	7
43	по своей	6	7
44	о том	9	7
45	что он	12	7
46	о которых	3	7
47	по существу	5	7
48	в силу	2	7
49	или менее	2	7
50	на самом	3	7
51	того чтобы	12	7
52	для того	10	7
53	более или	2	7
54	с другой	6	6
55	в этой	6	6
56	в общем	3	6
57	несмотря на	4	6
58	друг от	2	6
59	от друга	2	6
60	того что	17	6
61	так как	4	6
62	с ним	3	6
63	говорили выше	2	6
64	что и	2	6
65	у них	2	6
66	мы можем	10	6
67	только в	4	6
68	вместе с	6	6
69	именно в	2	5
70	что это	6	5
71	столь же	2	5
72	на все	2	5
73	что все	4	5
74	у него	2	5
75	в пользу	4	5
76	что с	5	5
77	в целом	10	5
78	и их	5	5
79	и с	4	5
80	потому что	7	5
81	но в	6	5
82	ничем не	3	5
83	сравнению с	5	5
84	к этому	4	5
85	и к	6	5
86	из всех	2	5
87	что при	3	5
88	в его	2	5
89	не только	15	5
90	по сравнению	5	5
91	и для	2	5
92	но все	2	5
93	лишь в	3	5
94	в себе	2	5
95	в которой	4	5
96	на вопрос	4	4
97	не могут	2	4
98	никогда не	8	4
99	в такой	2	4
100	из того	4	4
101	что его	4	4
102	это есть	2	4
103	что как	3	4
104	из них	3	4
105	в их	2	4
106	поэтому что	4	4
107	должно быть	2	4
108	признать что	4	4
109	связи с	9	4
110	мы должны	6	4
111	мы уже	6	4
112	иначе говоря	2	4
113	том же	2	4
114	он не	7	4
115	что эта	6	4
116	то же	5	4
117	а с	4	4
118	в течение	2	4
119	если мы	6	4
120	из которых	3	4
121	хотя бы	4	4
122	своем развитии	2	4
123	и т.д	12	4
124	мы будем	3	3
125	же как	2	3
126	с одной	7	3
127	в этих	2	3
128	с в	4	3
129	представление о	5	3
130	вопрос о	5	3
131	для нас	4	3
132	как у	2	3
133	очевидно что	3	3
134	уже и	2	3
135	это представление	3	3
136	на этой	2	3
137	данном случае	3	3
138	от того	2	3
139	целый ряд	2	3
140	в совершенно	4	3
141	что оно	4	3
142	и других	2	3
143	заключается в	8	3
144	и по	3	3
145	а в	4	3
146	это не	5	3
147	в начале	4	3
148	в истории	6	3
149	что мы	9	3
150	при помощи	4	3
151	прежде всего	4	3
152	таким же	3	3
153	во всем	2	3
154	чем в	2	3
155	как известно	6	3
156	тот же	7	3
157	что если	2	3
158	даже в	4	3
159	только что	3	3
160	рассматриваться как	3	3
161	в данном	3	3
162	которые не	2	3
163	тем более	3	3
164	в связи	6	3
165	и вообще	2	3
166	и это	3	3
167	отличие от	3	3
168	не то	2	3
169	но на	3	2
170	независимо от	4	2
171	в частности	6	2
172	точку зрения	6	2
173	что у	3	2
174	с этой	2	2
175	другой вид	2	2
176	как при	2	2
177	что на	2	2
178	как мы	6	2
179	для него	3	2
180	что они	3	2
181	одной стороны	7	2
182	и сам	3	2
183	образом как	2	2
184	том чтобы	4	2
185	но для	2	2
186	но если	2	2
187	в виду	6	2
188	всяком случае	6	2
189	в котором	2	2
190	с ее	2	2
191	мы видели	6	2
192	на том	2	2
193	и до	3	2
194	что она	3	2
195	что для	3	2
196	те же	3	2
197	в самой	3	2
198	они не	3	2
199	гораздо менее	3	2
200	в которых	3	2
201	не следует	2	2
202	говорить о	2	2
203	в один	2	2
204	также и	2	2
205	во всяком	7	2
206	в основе	3	2
207	и более	2	2
208	отнюдь не	2	2
209	в них	4	2
210	следует что	2	2
211	он должен	2	2
212	тогда когда	5	2
213	этих двух	2	2
214	должен быть	2	2
215	вовсе не	6	2
216	только тогда	2	2
217	но не	3	2
218	было бы	10	2
219	и из	2	2
220	психологии в	2	2
221	в сущности	9	2
222	общего с	2	2
223	и особенно	3	2
224	в процессе	11	2
225	что же	2	2
226	но с	2	2
227	в себя	2	2
228	тем самым	3	2
229	это обстоятельство	2	2
230	которой мы	2	2
231	в отдельных	2	2
232	этот вопрос	5	2
233	и ее	3	2
234	в другом	2	2
235	ту же	2	2
236	этого слова	3	2
237	и только	3	2
238	в эту	4	2
