N	2gram	Voloshinov_2	Sovremen
1	не может	18	17
2	точки зрения	17	12
3	может быть	28	12
4	таким образом	14	11
5	мы не	2	9
6	в этом	15	7
7	и в	19	7
8	каждый раз	3	6
9	и не	19	6
10	как и	9	6
11	мы можем	6	6
12	ничего не	4	6
13	прежде всего	7	5
14	все эти	3	5
15	с точки	13	5
16	как бы	19	4
17	мы видели	4	4
18	если мы	6	4
19	жизни и	2	4
20	вместе с	2	4
21	в зависимости	2	4
22	это не	4	4
23	а в	3	4
24	вопрос о	2	4
25	не только	13	4
26	с помощью	6	4
27	в том	7	4
28	точку зрения	2	4
29	зависимости от	2	4
30	так как	3	4
31	в системе	2	3
32	уже в	2	3
33	самого начала	5	3
34	все же	5	3
35	на этой	5	3
36	отнюдь не	8	3
37	то же	16	3
38	в нем	11	3
39	а не	9	3
40	у нас	3	3
41	с самого	5	3
42	не в	10	3
43	в этой	3	3
44	одна из	7	3
45	еще не	3	3
46	при этом	9	3
47	было бы	4	3
48	и т.д	4	3
49	и все	6	3
50	в себе	4	3
51	но в	7	3
52	и потому	2	3
53	ведь это	2	3
54	так сказать	14	2
55	совершенно не	5	2
56	что это	2	2
57	в виде	2	2
58	для его	3	2
59	и именно	2	2
60	у него	2	2
61	значение в	4	2
62	быть и	6	2
63	в нашем	2	2
64	приводит к	2	2
65	в отличие	3	2
66	тем же	4	2
67	или же	2	2
68	из одного	4	2
69	с одной	3	2
70	еще более	2	2
71	как мы	15	2
72	в свою	6	2
73	или иной	5	2
74	самом деле	9	2
75	и пр	25	2
76	и даже	2	2
77	мы знаем	2	2
78	той же	3	2
79	конечно в	3	2
80	то ни	5	2
81	в таком	7	2
82	во всяком	3	2
83	свою очередь	5	2
84	в живом	3	2
85	могут быть	3	2
86	с этим	3	2
87	что в	2	2
88	же самое	6	2
89	если же	2	2
90	в самом	6	2
91	отличие от	3	2
92	в его	5	2
93	всяком случае	2	2
94	все те	4	2
