N	2gram	Vygotskiy__3	VeschiIm
1	не есть	3	49
2	не может	6	33
3	не только	6	31
4	может быть	13	29
5	и не	10	28
6	и в	25	26
7	то что	15	24
8	это значит	4	22
9	значит что	4	22
10	в смысле	4	15
11	что она	5	14
12	только в	10	14
13	и что	10	13
14	того что	10	13
15	по себе	7	13
16	что это	5	12
17	было бы	10	12
18	но и	4	12
19	сказать что	4	12
20	все же	6	12
21	в себя	3	12
22	и то	2	12
23	таким образом	17	11
24	с нею	2	11
25	общения с	3	11
26	то же	2	10
27	уже не	2	10
28	как бы	10	10
29	потому что	6	10
30	что мы	7	10
31	в том	23	9
32	в самом	3	9
33	ни было	2	9
34	прежде всего	4	9
35	на то	4	8
36	но это	5	8
37	с ее	5	8
38	в себе	2	8
39	и это	4	8
40	в свете	2	7
41	что оно	4	7
42	в то	4	7
43	его в	3	7
44	так как	12	7
45	том что	20	7
46	есть и	2	7
47	указывает на	2	7
48	не будет	2	7
49	и их	3	7
50	с другими	2	7
51	в этом	14	7
52	как с	4	7
53	так что	2	6
54	и как	5	6
55	что они	10	6
56	что является	2	6
57	что в	17	6
58	для него	5	6
59	отличается от	3	6
60	и только	2	6
61	должно быть	2	6
62	в результате	3	6
63	точки зрения	6	6
64	ясно что	2	6
65	если мы	3	6
66	с ним	4	6
67	можно было	6	6
68	не менее	6	5
69	в отношении	6	5
70	с этой	3	5
71	тем не	5	5
72	не в	6	5
73	свою очередь	2	5
74	еще не	4	5
75	для этого	2	5
76	а в	4	5
77	ни на	2	5
78	с тем	16	5
79	если бы	5	5
80	отнюдь не	4	5
81	в свою	3	5
82	одна из	2	5
83	но не	6	5
84	того же	6	5
85	и для	2	5
86	на себя	2	5
87	в чем	2	5
88	можно ли	2	4
89	собственном смысле	6	4
90	в своем	4	4
91	с другой	6	4
92	независимо от	4	4
93	из них	4	4
94	то и	4	4
95	от того	4	4
96	с этим	4	4
97	о том	5	4
98	и все	4	4
99	как и	15	4
100	и потому	2	4
101	оно не	2	4
102	что и	10	4
103	этот вопрос	3	4
104	между ними	3	4
105	мы не	9	4
106	тем что	8	4
107	и другое	5	3
108	никогда не	4	3
109	в собственном	6	3
110	к тому	4	3
111	бы что	4	3
112	на этом	3	3
113	и сам	3	3
114	в нем	2	3
115	все это	6	3
116	их в	3	3
117	но как	3	3
118	в чисто	2	3
119	мы имеем	4	3
120	тогда когда	4	3
121	само по	2	3
122	к другому	2	3
123	в одном	2	3
124	в жизни	3	3
125	в понятии	5	3
126	один из	6	3
127	что он	6	3
128	мы видим	3	3
129	тот же	2	3
130	этот тип	3	3
131	в своей	2	3
132	вместе с	14	3
133	так и	5	3
134	или менее	3	3
135	а с	3	3
136	из того	2	3
137	бы в	2	3
138	того чтобы	8	3
139	тому как	2	3
140	понятие не	2	3
141	как оно	3	3
142	без этого	2	3
143	в основе	16	3
144	мы будем	2	2
145	подходит к	2	2
146	в частности	4	2
147	тому что	2	2
148	может ли	2	2
149	человека и	5	2
150	ни в	9	2
151	но все	2	2
152	переход от	3	2
153	обе эти	3	2
154	мог бы	4	2
155	мы уже	5	2
156	не стоит	2	2
157	в сфере	2	2
158	но только	3	2
159	мы говорили	4	2
160	для всего	2	2
161	оба эти	3	2
162	этой точки	2	2
163	отношении но	2	2
164	заключается в	9	2
165	не мог	4	2
166	который мы	2	2
167	так же	17	2
168	от всех	2	2
169	в своих	2	2
170	от одного	2	2
171	как это	7	2
172	как она	3	2
173	мы можем	7	2
174	взаимного понимания	8	2
175	но они	2	2
176	является в	3	2
177	от этого	6	2
178	и во	2	2
179	остановиться на	3	2
180	и эти	2	2
181	то в	3	2
182	в силу	6	2
183	на этой	5	2
184	в качестве	12	2
185	и может	2	2
186	наряду с	3	2
187	это так	2	2
188	об этом	2	2
189	он не	4	2
190	мы получили	3	2
191	когда он	3	2
192	как в	9	2
193	находится в	2	2
194	приводит к	4	2
195	как мы	8	2
196	для того	7	2
197	тем же	4	2
198	и его	2	2
199	той же	4	2
200	или иначе	2	2
201	во всяком	4	2
202	говорили что	2	2
203	взаимное понимание	4	2
204	моментов в	2	2
205	понимания между	3	2
206	об отношении	2	2
