N	2gram	Nazirov_Tv_1	Formalny
1	и в	21	24
2	в его	13	23
3	прежде всего	4	22
4	и не	7	20
5	так и	2	18
6	не может	4	16
7	в этом	6	15
8	в нем	3	14
9	может быть	5	14
10	таким образом	5	13
11	и т	3	12
12	в своем	4	11
13	не менее	6	11
14	как и	12	11
15	в своей	4	11
16	в их	3	11
17	вовсе не	5	10
18	то же	13	10
19	в ней	2	10
20	а не	5	10
21	и его	6	10
22	настоящее время	2	10
23	все это	10	9
24	социальной действительности	2	9
25	в то	15	9
26	же время	12	8
27	именно в	2	8
28	в свою	7	8
29	то что	8	8
30	как в	8	8
31	и на	7	8
32	не в	2	8
33	и с	3	8
34	место в	3	7
35	и от	4	7
36	до конца	2	7
37	не только	7	7
38	с ее	3	7
39	жизни и	3	7
40	но и	3	7
41	на самом	3	7
42	отнюдь не	5	6
43	и все	6	6
44	в том	7	6
45	в этой	5	6
46	самом деле	2	6
47	как бы	17	6
48	в целом	4	6
49	а в	6	6
50	хотя бы	5	5
51	в литературе	2	5
52	при этом	7	5
53	только на	2	5
54	в самом	3	5
55	того что	3	5
56	с другой	3	5
57	но в	7	5
58	с его	11	4
59	в частности	2	4
60	никогда не	3	4
61	в мире	4	4
62	так же	3	4
63	т п	2	4
64	что в	12	4
65	в которой	3	4
66	отчасти и	2	4
67	но не	3	3
68	в жизни	2	3
69	что он	6	3
70	к тому	2	3
71	его как	2	3
72	для него	6	3
73	это и	3	3
74	и как	4	3
75	но это	5	3
76	в каждом	3	3
77	среды и	3	3
78	ни на	3	3
79	со всеми	3	3
80	действительности и	2	3
81	не по	3	3
82	он не	8	3
83	в основном	4	3
84	один из	4	3
85	все же	5	3
86	когда он	2	3
87	время в	3	3
88	в россии	3	3
89	влияние на	2	3
90	и других	3	3
91	тем самым	7	3
92	и наконец	2	3
93	и даже	3	3
94	в основе	2	3
95	в себе	2	3
96	как к	2	3
97	так сказать	2	3
98	а как	2	2
99	жизни в	6	2
100	в лице	2	2
101	это не	4	2
102	в году	7	2
103	уже не	3	2
104	одна из	2	2
105	в современном	2	2
106	только в	5	2
107	действительности в	2	2
108	одной из	4	2
109	подхода к	3	2
110	все более	2	2
111	к ней	2	2
112	в него	2	2
113	еще в	2	2
114	что и	2	2
115	вместе с	2	2
116	во всей	2	2
117	приводит к	2	2
118	не так	3	2
119	для этой	2	2
120	в своих	5	2
121	на его	3	2
122	с ним	3	2
123	мира в	2	2
