N	2gram	Bakhtin_fo_1	Istorich
1	и в	50	22
2	в этом	25	17
3	и т	8	16
4	что в	5	15
5	не только	9	14
6	в дом	2	12
7	но и	8	12
8	и не	14	12
9	может быть	11	11
10	в этих	3	11
11	или в	3	11
12	попадает в	2	11
13	еще не	5	10
14	таким образом	11	10
15	но в	10	10
16	в нем	24	9
17	что и	3	9
18	вместе с	3	9
19	в том	9	9
20	с этим	6	8
21	том что	4	8
22	мы видим	3	8
23	как мы	14	8
24	с мотивом	3	7
25	с другой	2	7
26	к этому	3	7
27	но не	5	7
28	то что	6	7
29	уже не	2	7
30	мы должны	2	7
31	так как	6	7
32	там где	2	7
33	связи с	6	6
34	в них	4	6
35	это не	6	6
36	мы уже	11	6
37	а в	3	6
38	то же	11	6
39	в течение	2	6
40	а не	3	6
41	друг друга	3	6
42	ничего не	9	6
43	если бы	5	6
44	в частности	6	5
45	до сих	3	5
46	один из	3	5
47	все же	6	5
48	он не	5	5
49	того что	2	5
50	сих пор	3	5
51	могут быть	5	5
52	в некоторых	2	5
53	и другие	5	4
54	не в	5	4
55	в дальнейшем	6	4
56	в пределах	5	4
57	только в	4	4
58	в свою	2	4
59	они не	3	4
60	к ней	2	4
61	отношение к	2	4
62	для нас	2	4
63	его и	2	4
64	и его	16	4
65	и на	8	4
66	в данном	2	4
67	не может	6	4
68	но он	2	4
69	тем что	2	4
70	все эти	9	4
71	в других	9	4
72	и с	4	4
73	для них	3	3
74	мы еще	3	3
75	и все	6	3
76	могло быть	4	3
77	прежде всего	15	3
78	можно только	2	3
79	стороны и	2	3
80	к тому	3	3
81	и к	2	3
82	как и	8	3
83	и как	10	3
84	у него	6	3
85	равно как	2	3
86	было бы	2	3
87	но по	2	3
88	в его	13	3
89	никогда не	2	3
90	в целом	2	3
91	быть и	2	3
92	ее в	2	3
93	в связи	5	3
94	а мы	2	3
95	и у	5	3
96	так же	6	3
97	сказать что	3	3
98	потому что	4	3
99	вступает в	2	3
100	их и	2	3
101	и ее	3	3
102	далеко не	2	3
103	его в	3	3
104	здесь не	4	3
105	их в	3	3
106	в чем	2	3
107	не было	7	2
108	всех этих	5	2
109	с тем	3	2
110	и др	9	2
111	друг другу	2	2
112	что было	3	2
113	здесь и	2	2
114	в одном	3	2
115	в жизни	6	2
116	вовсе не	13	2
117	вопрос о	2	2
118	но конечно	2	2
119	он у	2	2
120	во всяком	3	2
121	или не	2	2
122	же в	3	2
123	ни в	8	2
124	тому же	2	2
125	но все	5	2
126	но они	3	2
127	одна из	2	2
128	с одной	3	2
129	как в	6	2
130	при этом	3	2
131	на другой	2	2
132	в качестве	3	2
133	то время	4	2
134	на себя	2	2
135	одной стороны	2	2
136	совершенно не	2	2
137	например в	6	2
138	себе и	3	2
139	здесь на	4	2
140	же как	2	2
141	да и	3	2
142	хотя и	3	2
143	в ней	4	2
144	его на	2	2
145	и потому	3	2
146	в этот	2	2
147	в котором	4	2
148	к жизни	2	2
149	не имеет	4	2
150	и уже	3	2
151	отношению к	5	2
152	и это	4	2
153	жизни и	8	2
154	несколько дней	2	2
155	нет ничего	4	2
156	но она	2	2
157	так и	12	2
158	не имеют	3	2
159	даже не	2	2
160	только на	3	2
161	по отношению	3	2
162	в своем	4	2
163	никто не	2	2
164	в особенности	9	2
165	происходит в	2	2
166	той же	2	2
167	еще более	3	2
168	превращение в	2	2
169	что не	3	2
170	и даже	2	2
171	есть только	2	2
172	и для	4	2
173	амуре и	3	2
174	в человека	2	2
175	роль в	9	2
176	время как	5	2
177	в которых	2	2
178	и то	4	2
179	точки зрения	5	2
180	в то	9	2
181	во все	2	2
182	ту же	2	2
183	а также	2	2
