N	2gram	Potebnia_M_2	DiskursI
1	в себе	10	19
2	при этом	13	17
3	состоит в	2	16
4	и в	24	16
5	может быть	23	16
6	как и	7	16
7	в этом	8	16
8	и не	19	15
9	а не	18	14
10	то есть	30	12
11	но и	9	11
12	тогда как	10	11
13	но в	4	11
14	том что	8	10
15	не только	15	10
16	со стороны	3	10
17	так и	5	9
18	не может	12	9
19	в том	18	8
20	как в	10	8
21	не менее	5	7
22	прежде всего	7	7
23	в нем	9	7
24	но не	12	7
25	с его	2	6
26	еще не	4	6
27	все же	5	6
28	то же	12	6
29	тем самым	4	6
30	а с	2	5
31	что в	16	5
32	с другой	6	5
33	же время	2	5
34	для него	10	5
35	то что	20	5
36	и на	8	5
37	в то	6	5
38	в одном	6	4
39	к этому	2	4
40	одной стороны	3	4
41	как бы	9	4
42	по отношению	2	4
43	с одной	4	4
44	человека в	3	4
45	потому что	49	4
46	можно назвать	2	4
47	одно из	3	4
48	и то	3	4
49	о том	5	4
50	и может	3	3
51	могут быть	8	3
52	в этих	3	3
53	в них	5	3
54	столь же	5	3
55	это не	3	3
56	не столько	2	3
57	из этих	4	3
58	и все	3	3
59	было в	2	3
60	уже не	4	3
61	и того	6	3
62	и как	6	3
63	не в	13	3
64	мысль о	7	3
65	например в	3	3
66	в его	2	3
67	в котором	4	3
68	из них	5	3
69	но она	3	3
70	чего не	2	3
71	не было	6	3
72	все эти	2	3
73	как на	3	3
74	и его	2	3
75	об одном	3	3
76	но это	3	3
77	одного и	6	3
78	в другом	2	3
79	только в	11	3
80	его в	3	3
81	одном из	4	3
82	место в	4	2
83	что ни	2	2
84	никогда не	4	2
85	в целом	3	2
86	с таким	3	2
87	что на	3	2
88	что он	4	2
89	а к	2	2
90	такой же	4	2
91	есть в	2	2
92	того же	14	2
93	одно и	2	2
94	в формах	2	2
95	в ряду	6	2
96	в ней	3	2
97	далеко не	3	2
98	отношения между	2	2
99	не с	3	2
100	что и	11	2
101	вместе с	11	2
102	заключает в	4	2
103	в языке	3	2
104	не на	2	2
105	в себя	2	2
106	все это	2	2
107	другой стороны	2	2
108	и для	3	2
109	должно быть	2	2
110	а в	8	2
111	той же	3	2
112	тому как	4	2
113	их в	2	2
114	подобно тому	4	2
115	или по	2	2
116	и это	2	2
117	между тем	6	2
