N	2gram	Tiupa_Lite_2	Istorich
1	и т	2	27
2	и в	19	26
3	то что	7	16
4	не только	8	15
5	что в	4	14
6	может быть	17	14
7	же как	2	13
8	но и	10	12
9	что он	3	10
10	так и	7	10
11	и его	3	10
12	что и	2	9
13	все же	2	9
14	и не	11	9
15	так как	3	9
16	то же	12	8
17	а в	3	8
18	как и	10	7
19	в качестве	5	7
20	героя в	2	7
21	он не	5	7
22	в этом	9	7
23	еще не	2	6
24	вместе с	5	6
25	не может	9	6
26	а не	20	6
27	и то	3	6
28	потому что	2	6
29	могут быть	2	6
30	как он	2	6
31	у него	2	5
32	и как	3	5
33	в одном	2	5
34	но не	5	5
35	и только	2	5
36	ничего не	3	5
37	в его	4	5
38	и др	3	5
39	и что	2	5
40	из которых	2	5
41	уже не	2	5
42	не в	4	5
43	и с	3	5
44	тем что	4	5
45	в другом	3	5
46	но в	2	5
47	с другой	8	4
48	на себя	2	4
49	вовсе не	2	4
50	все что	2	4
51	даже в	4	4
52	другой стороны	4	4
53	так в	5	4
54	тогда как	9	4
55	и даже	8	4
56	о том	2	4
57	все еще	2	3
58	власти над	2	3
59	к своему	2	3
60	же в	2	3
61	этом случае	2	3
62	для нас	2	3
63	в том	10	3
64	а затем	2	3
65	по существу	3	3
66	том что	7	3
67	и других	4	3
68	но это	3	3
69	при этом	6	3
70	как бы	2	3
71	а также	2	3
72	и он	3	3
73	данном случае	3	3
74	а именно	3	3
75	как это	2	3
76	в данном	3	3
77	в русской	4	3
78	к этой	2	3
79	уже в	2	2
80	с тем	2	2
81	не менее	6	2
82	никогда не	3	2
83	однако в	6	2
84	со мной	4	2
85	я тебя	2	2
86	тем не	2	2
87	ты в	2	2
88	так что	4	2
89	представляет собой	2	2
90	что я	2	2
91	в истории	2	2
92	одна из	5	2
93	на этом	2	2
94	было бы	2	2
95	такого рода	9	2
96	у нас	5	2
97	в частности	4	2
98	в роли	2	2
99	хотя бы	2	2
100	в нем	3	2
101	себя в	6	2
102	в целом	2	2
103	не к	2	2
104	из них	2	2
105	не по	2	2
106	в пути	3	2
107	и за	2	2
108	того что	5	2
109	право на	3	2
110	и на	6	2
111	с этой	2	2
112	не случайно	4	2
113	даже и	2	2
114	в себе	6	2
115	такую же	2	2
116	в этой	3	2
117	в области	4	2
118	могло бы	2	2
