N	2gram	Tiupa_Anal_2	formyVre
1	и в	16	50
2	то есть	9	33
3	в этом	18	25
4	и его	4	16
5	прежде всего	3	15
6	и не	12	14
7	как мы	3	14
8	вовсе не	2	13
9	как раз	4	13
10	в его	2	13
11	по существу	2	12
12	так и	15	12
13	может быть	6	11
14	таким образом	2	11
15	то же	4	11
16	но в	6	10
17	в конце	4	9
18	в том	12	9
19	же время	2	9
20	в то	2	9
21	не только	16	9
22	роль в	2	9
23	ничего не	9	9
24	в самом	6	8
25	и их	2	8
26	но и	12	8
27	и на	6	8
28	как и	14	8
29	того же	4	8
30	и во	2	7
31	времени в	4	7
32	в частности	16	6
33	с ее	2	6
34	в их	3	6
35	не может	4	6
36	лишь в	9	6
37	так же	2	6
38	в результате	3	6
39	у него	4	6
40	и все	3	6
41	во всех	4	6
42	то что	7	6
43	как в	4	6
44	между двумя	4	6
45	что в	2	5
46	не в	4	5
47	с самим	3	5
48	в пределах	9	5
49	и до	2	5
50	точки зрения	4	5
51	если бы	3	5
52	отнюдь не	8	5
53	романа в	3	5
54	но не	4	5
55	еще не	2	5
56	он не	2	5
57	отношению к	4	5
58	могут быть	10	5
59	жизни но	2	5
60	в своем	4	4
61	в котором	2	4
62	на этой	2	4
63	все это	4	4
64	не имеет	2	4
65	и т.п	8	4
66	том что	12	4
67	и для	2	4
68	и то	3	4
69	только в	4	4
70	в этих	2	3
71	вследствие этого	2	3
72	к тому	7	3
73	при этом	10	3
74	имеет место	4	3
75	хотя и	4	3
76	один из	2	3
77	по отношению	4	3
78	отношения к	2	3
79	этом отношении	3	3
80	с одной	5	3
81	именно в	3	3
82	но эта	2	3
83	а в	3	3
84	вообще не	2	3
85	сказать что	2	3
86	одно из	2	3
87	его в	2	3
88	в одном	2	3
89	а как	2	3
90	не знает	3	3
91	на фоне	3	3
92	к этому	2	3
93	в качестве	11	3
94	одной из	3	3
95	в сущности	4	3
96	по преимуществу	4	3
97	что и	3	3
98	вместе с	2	3
99	только на	3	3
100	еще более	2	3
101	во времени	2	3
102	а не	10	3
103	в таком	2	3
104	или в	3	3
105	в себе	7	3
106	место в	3	2
107	никогда не	3	2
108	о своей	2	2
109	в нашем	3	2
110	с другой	6	2
111	что все	2	2
112	была бы	2	2
113	или иной	3	2
114	его от	3	2
115	тому же	4	2
116	с их	2	2
117	есть в	3	2
118	для него	4	2
119	одной стороны	4	2
120	не о	2	2
121	природе своей	2	2
122	в целом	8	2
123	ни с	2	2
124	к своему	2	2
125	те же	2	2
126	на основе	2	2
127	по природе	2	2
128	того что	2	2
129	и даже	9	2
130	личности и	2	2
131	той или	3	2
132	и является	4	2
133	эту жизнь	2	2
134	с ним	2	2
135	встречи с	2	2
136	для всех	2	2
137	по себе	2	2
138	и к	5	2
139	в соответствии	2	2
140	сюжета и	3	2
141	здесь в	2	2
142	и стал	2	2
143	было бы	3	2
144	а также	7	2
145	в своей	2	2
146	как бы	10	2
147	момент его	2	2
148	борьбе с	2	2
149	в центре	3	2
150	в отличие	2	2
151	уже не	4	2
152	в значительной	2	2
153	с точки	2	2
154	речи в	2	2
155	той же	2	2
156	в данном	8	2
157	автора и	3	2
158	тем что	3	2
159	вступает в	2	2
160	на себя	5	2
161	соответствии с	2	2
162	того и	2	2
163	попадает в	3	2
164	отличие от	2	2
