N	2gram	Potebnia_M_4	NovoeSre
1	а не	12	17
2	не может	11	16
3	и в	23	16
4	и не	18	11
5	и есть	3	10
6	что в	17	9
7	он не	2	8
8	в том	23	8
9	не будет	3	7
10	как и	14	7
11	это есть	3	7
12	в этом	23	7
13	может быть	26	7
14	никогда не	3	6
15	не в	11	6
16	лишь в	3	6
17	но это	3	6
18	в нем	7	5
19	все это	5	5
20	и к	6	5
21	в ней	2	5
22	не только	10	5
23	не менее	5	4
24	то что	29	4
25	в них	3	4
26	жизни к	2	4
27	это не	7	4
28	и все	4	4
29	не было	12	4
30	быть может	4	4
31	не имеет	5	4
32	и для	2	4
33	должно быть	5	4
34	есть лишь	2	4
35	потому что	33	4
36	по своему	2	4
37	и мы	5	4
38	о том	8	4
39	и потому	10	4
40	но и	11	3
41	не есть	9	3
42	не существует	2	3
43	в истории	4	3
44	с другой	2	3
45	вопрос о	2	3
46	стремится к	2	3
47	человека и	3	3
48	к тому	3	3
49	что такое	7	3
50	в мире	2	3
51	в ее	2	3
52	с тем	7	3
53	духа и	2	3
54	подобно тому	2	3
55	конечно не	2	3
56	как в	7	3
57	она не	2	3
58	еще не	3	3
59	тому как	2	3
60	сказать что	8	3
61	к ним	2	3
62	не значит	2	3
63	это было	2	3
64	что все	4	2
65	я не	2	2
66	том и	2	2
67	вместе с	6	2
68	так и	6	2
69	что она	2	2
70	мысли и	7	2
71	мы говорим	7	2
72	а в	5	2
73	все эти	3	2
74	думать что	4	2
75	уже не	3	2
76	того чтобы	4	2
77	и даже	2	2
78	хотя бы	4	2
79	ни к	2	2
80	так же	4	2
81	мы не	8	2
82	том что	12	2
83	в смысле	3	2
84	можно было	2	2
85	есть в	5	2
86	можно назвать	2	2
87	в обществе	2	2
88	и с	4	2
89	и что	7	2
90	могут быть	7	2
91	с этим	7	2
92	равно как	2	2
93	и на	3	2
94	в себе	14	2
95	в то	4	2
96	и это	2	2
97	когда мы	6	2
98	мысли в	2	2
99	хотя и	5	2
100	но в	8	2
101	нашего времени	3	2
102	еще до	3	2
