N	3gram	Losev_Vlad_3	EvropaiC
1	в том что	10	16
2	с точки зрения	6	8
3	более или менее	5	7
4	на то что	2	7
5	совершенно так же	2	4
6	не может быть	6	4
7	о том что	8	4
8	тем не менее	9	4
9	том случае если	2	4
10	в конце концов	5	4
11	с другой стороны	2	4
12	к тому же	5	4
13	в том случае	3	4
14	в данном случае	2	3
15	так же как	2	3
16	в связи с	2	3
17	в настоящее время	3	3
18	и то что	4	3
19	так или иначе	2	3
20	в то же	3	2
21	в вопросе о	2	2
22	и в том	2	2
23	что же касается	5	2
24	то же время	2	2
25	с одной стороны	3	2
26	а с другой	2	2
27	то что это	2	2
28	бы то ни	3	2
29	что несмотря на	2	2
30	во всяком случае	3	2
31	вместе с тем	6	2
32	ничего общего с	2	2
