N	2gram	Bakhtin_Fr_5	Sovremen
1	не может	5	17
2	точки зрения	4	12
3	может быть	2	12
4	таким образом	8	11
5	мы не	4	9
6	в каждом	2	8
7	в этом	14	7
8	и в	45	7
9	и не	15	6
10	как и	10	6
11	мы можем	2	6
12	ничего не	4	6
13	прежде всего	10	5
14	все эти	5	5
15	и наконец	2	5
16	с точки	2	5
17	в условиях	2	5
18	как бы	12	4
19	нет и	2	4
20	мы видели	7	4
21	если мы	2	4
22	в целом	2	4
23	жизни и	8	4
24	вместе с	3	4
25	это не	3	4
26	а в	4	4
27	не только	14	4
28	с помощью	3	4
29	в том	10	4
30	точку зрения	2	4
31	так как	6	4
32	в системе	2	3
33	но мы	2	3
34	все же	2	3
35	все это	7	3
36	не подлежит	2	3
37	в конце	7	3
38	то же	11	3
39	в нем	10	3
40	а не	4	3
41	и к	5	3
42	не в	7	3
43	в этой	6	3
44	он в	2	3
45	при этом	2	3
46	было бы	2	3
47	и т.д	2	3
48	в одном	3	3
49	и все	7	3
50	как он	3	3
51	что она	3	3
52	но в	14	3
53	ведь это	2	3
54	не могут	2	2
55	что это	2	2
56	не менее	3	2
57	и есть	2	2
58	у него	4	2
59	не будем	2	2
60	на котором	2	2
61	и во	4	2
62	в отличие	2	2
63	из этих	3	2
64	что все	2	2
65	как мы	8	2
66	самом деле	5	2
67	и что	2	2
68	роль в	2	2
69	на этот	3	2
70	и даже	4	2
71	он должен	2	2
72	той же	4	2
73	конечно в	2	2
74	мы видим	5	2
75	такой же	4	2
76	на этом	5	2
77	с этим	4	2
78	что в	12	2
79	говорить о	2	2
80	с другом	2	2
81	со всеми	5	2
82	же самое	2	2
83	в самом	4	2
84	друг с	2	2
85	отличие от	2	2
86	в его	13	2
