N	2gram	Tiupa_Hudo_2	Problema
1	в его	11	43
2	и не	18	42
3	и в	28	38
4	не может	4	27
5	может быть	8	26
6	как бы	5	22
7	по отношению	7	21
8	в художественном	4	20
9	отнюдь не	2	19
10	отношению к	7	19
11	и с	6	17
12	и его	5	16
13	в нем	3	15
14	в этом	13	15
15	и т	4	14
16	прежде всего	3	13
17	только в	4	13
18	т п	2	13
19	но не	4	12
20	и для	2	11
21	к нему	3	10
22	отношение к	2	10
23	но и	9	9
24	его в	2	9
25	не только	11	9
26	место в	2	8
27	в том	15	8
28	точки зрения	2	8
29	было бы	3	8
30	для нее	4	8
31	то что	6	8
32	что в	5	7
33	и становится	2	7
34	с другой	3	7
35	не в	13	7
36	в самом	5	7
37	между тем	8	7
38	как и	11	7
39	еще не	3	7
40	в своей	6	7
41	как мы	2	7
42	а в	6	6
43	все же	2	6
44	дело с	2	6
45	самом деле	3	6
46	с точки	2	6
47	ничего не	5	6
48	то же	6	5
49	все они	3	5
50	в своем	5	5
51	это не	6	5
52	при этом	11	5
53	никогда не	5	5
54	рядом с	5	5
55	в основе	2	5
56	с ним	7	5
57	в них	3	5
58	и о	4	5
59	так и	8	5
60	а не	14	5
61	тем как	2	5
62	не менее	5	4
63	в нашем	2	4
64	в ней	3	4
65	в конечном	4	4
66	данном случае	2	4
67	и только	2	4
68	в других	4	4
69	с ними	3	4
70	сказать что	2	4
71	в то	6	4
72	о том	12	4
73	но в	2	4
74	конечном счете	3	4
75	не с	2	4
76	в ее	18	4
77	как в	5	4
78	тем самым	2	4
79	что не	2	4
80	между ними	2	4
81	хотя бы	2	4
82	можно было	3	4
83	в данном	2	4
84	в себе	9	4
85	здесь не	2	4
86	как только	3	3
87	себя и	2	3
88	и от	2	3
89	тем не	4	3
90	да и	5	3
91	же время	4	3
92	одной стороны	3	3
93	несмотря на	3	3
94	не является	2	3
95	все это	3	3
96	с одной	3	3
97	и на	3	3
98	а как	2	3
99	если бы	6	3
100	и все	7	3
101	на фоне	3	3
102	и к	2	3
103	она может	2	3
104	том что	19	3
105	говорить о	2	3
106	все что	3	3
107	одной из	3	3
108	он не	4	3
109	оно не	2	3
110	на него	3	3
111	приводит к	2	3
112	в мире	7	3
113	с другими	3	3
114	на ее	3	3
115	и это	3	3
116	едва ли	3	3
117	на этом	2	2
118	я не	7	2
119	том как	2	2
120	человек в	3	2
121	представляется нам	2	2
122	и другие	5	2
123	в частности	7	2
124	в этих	3	2
125	столь же	3	2
126	что все	3	2
127	была бы	3	2
128	или иной	2	2
129	можно сказать	6	2
130	с самим	2	2
131	ибо в	2	2
132	не более	2	2
133	по поводу	3	2
134	что это	5	2
135	и у	2	2
136	в котором	6	2
137	ни с	2	2
138	не было	6	2
139	лишь в	2	2
140	нуждается в	2	2
141	самим собою	2	2
142	к себе	3	2
143	же самое	3	2
144	того или	2	2
145	как это	7	2
146	с его	5	2
147	не все	3	2
148	вовсе не	2	2
149	или иного	2	2
150	о которых	2	2
151	что он	8	2
152	одна из	2	2
153	она не	5	2
154	в строгом	2	2
155	что и	4	2
156	себя в	8	2
157	не во	2	2
158	бы не	3	2
159	в двух	2	2
160	человека в	4	2
161	того чтобы	4	2
162	для того	4	2
163	и эта	2	2
164	и он	3	2
165	или в	3	2
166	тем что	6	2
167	в виде	2	2
168	и ее	3	2
169	в другом	2	2
