N	2gram	Berdyaev_M_2	PoTuStor
1	может быть	21	17
2	и в	46	16
3	прежде всего	12	9
4	в этом	20	9
5	и его	5	8
6	и с	3	8
7	точки зрения	2	8
8	к матери	2	8
9	не может	15	8
10	с его	4	7
11	сказать что	3	7
12	не только	18	7
13	и это	5	6
14	и к	7	6
15	для него	18	6
16	я и	2	6
17	отношение к	8	5
18	в чем	3	5
19	ни в	3	5
20	как бы	8	5
21	в нем	22	4
22	но и	15	4
23	так и	4	4
24	хотя бы	7	4
25	и все	5	4
26	так как	8	4
27	и не	18	4
28	и на	3	4
29	в этой	7	4
30	все что	4	4
31	только в	3	4
32	его в	3	4
33	но в	10	4
34	в его	5	4
35	в этих	2	3
36	что в	4	3
37	жизни и	6	3
38	и есть	8	3
39	во всех	2	3
40	вместе с	2	3
41	сих пор	3	3
42	чем не	2	3
43	отношения к	2	3
44	к себе	2	3
45	те же	5	3
46	и вот	5	3
47	и она	3	3
48	в том	3	3
49	а в	2	3
50	том что	4	3
51	то что	5	3
52	в основе	2	3
53	на этом	2	3
54	и потому	7	3
55	до сих	3	3
56	не существует	3	2
57	ее в	2	2
58	один из	5	2
59	что и	4	2
60	не есть	13	2
61	же как	3	2
62	не будет	3	2
63	нем нет	2	2
64	сознания и	2	2
65	влечет к	3	2
66	никогда не	18	2
67	что не	2	2
68	для этого	4	2
69	в них	3	2
70	оно не	2	2
71	в жизни	4	2
72	то же	5	2
73	быть может	2	2
74	не знает	9	2
75	только и	4	2
76	и других	2	2
77	что он	7	2
78	у него	22	2
79	и для	7	2
80	как и	13	2
81	они не	4	2
82	мы видим	2	2
83	так же	6	2
84	но это	8	2
85	есть в	3	2
86	совсем не	5	2
87	он не	10	2
88	и этим	2	2
89	есть и	3	2
90	всю жизнь	3	2
91	момент в	3	2
92	что это	6	2
93	о том	3	2
94	в самом	5	2
95	в своей	5	2
96	с ним	3	2
97	себя и	3	2
