N	2gram	Tiupa_Narr_2	Stilisti
1	и в	13	42
2	как бы	6	27
3	не только	26	27
4	и т.п	6	24
5	прежде всего	6	22
6	и т.д	4	20
7	внутренней речи	3	18
8	хотя бы	2	17
9	но и	15	15
10	то же	4	15
11	и не	14	14
12	может быть	10	12
13	не может	8	12
14	точки зрения	5	11
15	как и	4	11
16	отнюдь не	4	10
17	в этом	13	10
18	при этом	14	9
19	в то	5	9
20	то что	8	9
21	мы не	2	9
22	все же	6	8
23	в ней	2	8
24	таким образом	5	8
25	тем самым	5	8
26	в себе	8	8
27	никогда не	6	7
28	же время	3	7
29	и тем	5	7
30	потому что	2	7
31	с его	3	7
32	было бы	2	7
33	а не	17	7
34	того чтобы	3	7
35	и его	3	7
36	только в	11	7
37	ничего не	6	7
38	точку зрения	3	6
39	или иной	3	6
40	не в	8	6
41	в этой	4	6
42	в свою	2	6
43	в форме	5	6
44	в конце	4	6
45	в нем	5	6
46	в процессе	2	6
47	так и	9	6
48	в области	2	6
49	в нашем	2	5
50	тому что	3	5
51	не является	4	5
52	те же	2	5
53	а в	9	5
54	того или	3	5
55	как это	4	5
56	в сознании	2	5
57	или иного	3	5
58	в его	6	5
59	в той	5	5
60	с точки	2	5
61	той же	2	5
62	что это	4	4
63	его внутренней	2	4
64	можно сказать	6	4
65	к тому	9	4
66	в качестве	14	4
67	в самом	2	4
68	той или	3	4
69	один из	3	4
70	того что	6	4
71	так же	2	4
72	о том	5	4
73	бы в	2	4
74	но в	6	4
75	если бы	4	4
76	и к	6	4
77	у нас	2	4
78	себя в	2	4
79	на него	5	4
80	а с	2	4
81	к своему	2	4
82	уже не	4	4
83	самом деле	3	4
84	в слове	3	4
85	можно было	2	4
86	то есть	9	4
87	так сказать	3	4
88	что у	2	3
89	перед нами	4	3
90	это не	3	3
91	для нас	2	3
92	в будущем	2	3
93	но для	2	3
94	хотя и	5	3
95	в котором	5	3
96	представить себе	3	3
97	и уже	4	3
98	в целом	3	3
99	не к	4	3
100	жизни и	4	3
101	высказывания как	2	3
102	мертвых душ	2	3
103	во второй	2	3
104	и даже	3	3
105	сказать что	3	3
106	и здесь	2	3
107	в начале	2	3
108	вследствие этого	2	3
109	и все	4	3
110	но при	4	3
111	об этом	4	3
112	в ее	4	3
113	том что	13	3
114	еще не	2	3
115	о своем	2	3
116	что и	2	3
117	не будет	2	3
118	да и	3	3
119	только на	2	3
120	на самом	2	3
121	если не	2	3
122	и для	3	3
123	роль в	2	3
124	ответ на	5	3
125	место в	5	2
126	быть может	2	2
127	зависит от	2	2
128	в душе	2	2
129	в частности	11	2
130	в какой	4	2
131	или даже	3	2
132	как уже	2	2
133	в мире	4	2
134	в том	14	2
135	тому же	4	2
136	но это	2	2
137	времени и	4	2
138	для него	4	2
139	и сам	3	2
140	несмотря на	2	2
141	в него	2	2
142	себе и	2	2
143	о них	2	2
144	жизни мы	2	2
145	этом отношении	3	2
146	все эти	3	2
147	нам в	3	2
148	и вследствие	2	2
149	в своих	2	2
150	по своей	3	2
151	все то	2	2
152	мы имеем	3	2
153	к которому	2	2
154	в жизни	6	2
155	которое не	2	2
156	однако в	2	2
157	между собой	3	2
158	что он	5	2
159	не должен	2	2
160	а к	3	2
161	представляет собой	16	2
162	к миру	2	2
163	но не	3	2
164	по своему	2	2
165	и когда	3	2
166	зрения на	2	2
167	в своей	4	2
168	бытия в	2	2
169	как в	5	2
170	здесь не	2	2
171	другого человека	2	2
172	и он	2	2
173	с ним	4	2
174	ни слова	2	2
