N	2gram	Medvedev_V_1	DiskursI
1	в качестве	11	34
2	не только	25	28
3	в том	15	23
4	а не	7	22
5	том что	8	19
6	может быть	22	17
7	и в	26	16
8	как и	7	16
9	в этом	26	15
10	еще не	2	14
11	но и	10	14
12	прежде всего	13	11
13	но не	2	11
14	и не	19	11
15	с другой	11	10
16	далеко не	2	10
17	в частности	11	9
18	в нем	6	9
19	отношению к	7	9
20	одной стороны	2	9
21	по отношению	7	9
22	не может	17	9
23	с одной	2	9
24	отнюдь не	3	8
25	так и	5	8
26	о том	10	8
27	но в	2	8
28	в его	14	7
29	то же	10	7
30	не было	7	7
31	роль в	4	7
32	в себе	6	7
33	только в	7	7
34	не в	6	7
35	в своем	8	6
36	и как	3	6
37	пока еще	2	6
38	к тому	4	5
39	или иной	2	5
40	можно сказать	4	5
41	в силу	11	5
42	как бы	5	5
43	в котором	3	5
44	в своей	4	5
45	то что	6	5
46	во всех	6	5
47	в процессе	16	5
48	а в	3	5
49	в их	5	5
50	сводится к	3	5
51	с его	3	4
52	что в	10	4
53	не является	5	4
54	в них	4	4
55	и к	3	4
56	что он	4	4
57	для него	8	4
58	в целом	4	4
59	же время	5	4
60	связи с	4	4
61	в особенности	2	4
62	лишь в	2	4
63	что не	3	4
64	в которых	3	4
65	между тем	5	4
66	могут быть	5	4
67	перед нами	4	3
68	это не	7	3
69	по себе	2	3
70	что и	3	3
71	в ее	4	3
72	различного рода	3	3
73	имеет свою	3	3
74	с этим	3	3
75	в самом	4	3
76	при всей	2	3
77	один из	5	3
78	хотя бы	19	3
79	все же	5	3
80	из них	9	3
81	ли не	2	3
82	таким образом	31	3
83	именно в	2	3
84	заключается в	2	3
85	того что	3	3
86	должны быть	2	3
87	другой стороны	8	3
88	и даже	2	3
89	в своих	2	3
90	сказать что	5	3
91	точки зрения	3	3
92	в то	6	3
93	тому как	2	3
94	также и	2	3
95	и потому	2	3
96	в противоположность	3	2
97	зависит от	2	2
98	говорит и	8	2
99	не менее	2	2
100	по словам	8	2
101	и есть	5	2
102	а о	2	2
103	никогда не	4	2
104	том числе	2	2
105	по крайней	2	2
106	или меньшей	3	2
107	в одном	4	2
108	в каждом	2	2
109	к этому	9	2
110	к работе	3	2
111	в году	6	2
112	стороны и	2	2
113	об этом	9	2
114	к его	2	2
115	крайней мере	2	2
116	в пределах	5	2
117	в значительной	3	2
118	более или	6	2
119	числе и	2	2
120	большей или	3	2
121	отличается от	2	2
122	так например	2	2
123	было в	2	2
124	одним из	5	2
125	хотя и	2	2
126	частности в	2	2
127	и др	9	2
128	будто бы	2	2
129	например в	3	2
130	того или	2	2
131	когда он	3	2
132	в различных	2	2
133	в форме	3	2
134	или менее	6	2
135	приводит к	5	2
136	человека в	2	2
137	не приходится	2	2
138	том чтобы	2	2
139	в науке	2	2
140	и он	2	2
141	и по	3	2
142	и его	6	2
143	или в	3	2
144	не следует	8	2
145	мы имеем	3	2
146	можно определить	2	2
147	подобно тому	2	2
148	и ее	4	2
149	но как	3	2
150	в другом	2	2
151	что даже	2	2
152	же самое	2	2
153	в этой	4	2
154	определить как	2	2
155	рассказывает что	2	2
156	так сказать	2	2
157	они не	2	2
158	в виду	4	2
159	о чем	2	2
