N	2gram	Savitsky_P_1	Russkaja
1	не может	4	22
2	и не	12	19
3	в том	9	17
4	в этом	10	17
5	и в	14	14
6	то что	4	13
7	то же	9	11
8	точки зрения	3	11
9	же время	7	10
10	но и	6	10
11	в то	7	10
12	том что	4	9
13	церкви и	2	9
14	не только	17	9
15	в себе	3	9
16	с точки	3	9
17	может быть	5	9
18	прежде всего	3	8
19	как на	2	8
20	отнюдь не	2	7
21	и если	4	7
22	россии в	5	7
23	мы должны	4	7
24	и с	2	7
25	если бы	4	6
26	и к	4	6
27	с тем	3	6
28	для того	3	6
29	если в	2	6
30	все это	2	6
31	в своем	4	6
32	в россии	3	6
33	хотя бы	8	5
34	было бы	6	5
35	в нем	3	5
36	во всех	2	5
37	в последние	2	5
38	а в	4	5
39	потому что	3	5
40	только в	7	5
41	между тем	3	5
42	но не	3	4
43	что в	4	4
44	в мире	2	4
45	как бы	4	4
46	со стороны	2	4
47	не в	5	4
48	в его	2	4
49	для них	2	3
50	именно в	2	3
51	признание что	2	3
52	главным образом	2	3
53	да и	2	3
54	и как	3	3
55	должно быть	2	3
56	в качестве	9	3
57	и потому	4	3
58	и т	3	3
59	из них	2	3
60	россии и	4	3
61	не было	2	3
62	сводится к	3	3
63	в значительной	2	3
64	того что	2	3
65	культуры в	2	3
66	в виде	2	3
67	говорить о	2	3
68	одна из	2	3
69	в порядке	3	2
70	и есть	2	2
71	в частности	2	2
72	друг другу	2	2
73	с этим	2	2
74	европейской культуры	4	2
75	по себе	4	2
76	бы ни	2	2
77	от европы	2	2
78	и о	5	2
79	в ней	6	2
80	к чему	2	2
81	помнить что	2	2
82	в котором	4	2
83	отношении к	5	2
84	и тем	2	2
85	не к	2	2
86	для нас	2	2
87	время в	2	2
88	отношения к	2	2
89	и вот	2	2
90	тем самым	3	2
91	а не	2	2
92	значительной мере	2	2
93	в силу	2	2
94	не о	2	2
95	в начале	2	2
96	в области	11	2
97	но в	9	2
