N	2gram	Vinokur_St_1	DiskursI
1	в качестве	4	34
2	не только	18	28
3	в том	36	23
4	а не	16	22
5	то есть	2	20
6	том что	29	19
7	может быть	15	17
8	и в	44	16
9	как и	9	16
10	в этом	21	15
11	еще не	3	14
12	но и	10	14
13	при этом	2	13
14	прежде всего	7	11
15	но не	3	11
16	и не	16	11
17	по своей	2	11
18	с другой	9	10
19	как в	13	10
20	в частности	4	9
21	в нем	5	9
22	отношению к	3	9
23	одной стороны	2	9
24	по отношению	3	9
25	не может	8	9
26	с одной	3	9
27	а также	2	8
28	своего рода	3	8
29	так и	9	8
30	о том	17	8
31	но в	10	8
32	в основе	3	7
33	в его	9	7
34	со стороны	6	7
35	то же	5	7
36	не было	4	7
37	в себе	2	7
38	только в	10	7
39	не в	12	7
40	в своем	2	6
41	как бы	4	5
42	в котором	5	5
43	в своей	6	5
44	то что	18	5
45	во всех	8	5
46	а с	3	5
47	а в	17	5
48	в эпоху	2	5
49	в данном	14	5
50	что в	30	4
51	в сторону	2	4
52	не является	3	4
53	для себя	3	4
54	во втором	4	4
55	что он	10	4
56	для него	6	4
57	в истории	3	4
58	в целом	5	4
59	же время	4	4
60	такого рода	2	4
61	отношение к	2	4
62	внимание на	3	4
63	лишь в	3	4
64	что не	3	4
65	в которых	5	4
66	потому что	6	4
67	между тем	3	4
68	могут быть	5	4
69	как правило	2	4
70	того же	3	3
71	столь же	4	3
72	это не	8	3
73	что и	6	3
74	в ее	4	3
75	с этим	3	3
76	в данной	2	3
77	в самом	7	3
78	хотя бы	6	3
79	все же	8	3
80	из них	8	3
81	ли не	2	3
82	таким образом	7	3
83	именно в	6	3
84	заключается в	4	3
85	того что	9	3
86	должны быть	3	3
87	другой стороны	7	3
88	и даже	5	3
89	в своих	2	3
90	сказать что	7	3
91	тем что	5	3
92	точки зрения	11	3
93	в то	9	3
94	также и	9	3
95	в первом	2	3
96	и потому	2	3
97	это прежде	2	3
98	из двух	3	2
99	однако и	2	2
100	не менее	5	2
101	по словам	4	2
102	никогда не	5	2
103	о котором	2	2
104	и без	3	2
105	том числе	2	2
106	в какой	3	2
107	же касается	3	2
108	и во	2	2
109	по крайней	2	2
110	и все	2	2
111	в каждом	3	2
112	это в	4	2
113	имеем дело	2	2
114	не всегда	2	2
115	в тех	3	2
116	об этом	3	2
117	крайней мере	2	2
118	в г	3	2
119	есть в	2	2
120	числе и	2	2
121	так например	7	2
122	что с	2	2
123	бы это	2	2
124	в начале	3	2
125	в сущности	2	2
126	совпадает с	2	2
127	в равной	2	2
128	будто бы	3	2
129	например в	8	2
130	и тем	3	2
131	того или	4	2
132	дело не	4	2
133	в тексте	12	2
134	что же	6	2
135	данном случае	6	2
136	за пределы	2	2
137	целый ряд	2	2
138	языка и	4	2
139	дело с	2	2
140	как к	3	2
141	отношения к	2	2
142	и иные	2	2
143	хотя в	2	2
144	уже в	2	2
145	и что	4	2
146	более чем	2	2
147	свидетельствует о	2	2
148	и по	5	2
149	текста в	5	2
150	эпохи и	3	2
151	и его	8	2
152	во всяком	6	2
153	писателя в	2	2
154	мы имеем	2	2
155	что касается	3	2
156	к которому	4	2
157	в другом	3	2
158	и вообще	3	2
159	в этой	11	2
160	уже о	5	2
161	в новом	4	2
