N	2gram	Voloshinov_1	Poddanst
1	не только	4	17
2	и в	12	14
3	и не	10	12
4	в отношении	2	10
5	в этом	4	10
6	то же	5	9
7	в том	6	9
8	но в	5	9
9	хотя бы	5	8
10	в пределах	3	8
11	в то	2	7
12	только в	6	7
13	но и	3	6
14	в ней	6	6
15	с другой	4	5
16	не в	4	5
17	и пр	3	5
18	отношении к	3	5
19	может быть	14	5
20	в котором	3	4
21	то что	5	4
22	что в	2	4
23	если бы	9	4
24	в своем	2	4
25	не может	16	4
26	по себе	3	4
27	и к	4	4
28	том что	5	4
29	как бы	13	4
30	и потому	2	4
31	в нем	6	3
32	это не	2	3
33	с одной	2	3
34	прежде всего	8	3
35	с точки	2	3
36	мы не	3	3
37	между тем	3	3
38	но не	2	3
39	могут быть	2	3
40	точки зрения	14	3
41	в себе	3	3
42	что мы	5	3
43	одной стороны	2	3
44	не менее	3	2
45	не к	3	2
46	отнюдь не	5	2
47	в них	3	2
48	все это	3	2
49	в жизни	5	2
50	стороны и	2	2
51	а не	5	2
52	того что	3	2
53	слова но	2	2
54	точек зрения	3	2
55	для нас	7	2
56	как на	2	2
57	сколько бы	3	2
58	да и	3	2
59	в его	2	2
60	и с	3	2
