N	2gram	Tiupa_Disk_1	Istorich
1	в сказке	3	47
2	и в	16	26
3	то что	5	16
4	не только	28	15
5	что в	4	14
6	может быть	17	14
7	но и	14	12
8	что он	4	10
9	так и	8	10
10	таким образом	3	10
11	и его	2	10
12	что и	3	9
13	все же	3	9
14	и не	11	9
15	то же	7	8
16	а в	5	8
17	об этом	2	7
18	как и	16	7
19	в качестве	34	7
20	героя в	2	7
21	как в	10	7
22	в этом	15	7
23	мы имеем	2	7
24	не всегда	2	6
25	еще не	14	6
26	когда он	2	6
27	не может	9	6
28	а не	22	6
29	потому что	4	6
30	могут быть	4	6
31	и как	6	5
32	это не	3	5
33	в одном	2	5
34	к этому	2	5
35	в силу	5	5
36	но не	11	5
37	в его	7	5
38	и др	2	5
39	как мы	2	5
40	и что	2	5
41	уже не	4	5
42	и по	2	5
43	не в	7	5
44	тем что	3	5
45	в другом	2	5
46	но в	8	5
47	с другой	10	4
48	на себя	2	4
49	в тех	2	4
50	а по	2	4
51	указывает на	2	4
52	в своей	5	4
53	другой стороны	3	4
54	тогда как	19	4
55	и даже	3	4
56	в которых	4	4
57	о том	8	4
58	перед нами	3	3
59	представления о	2	3
60	в одной	3	3
61	к себе	2	3
62	в том	23	3
63	том что	19	3
64	при этом	13	3
65	например в	2	3
66	на его	4	3
67	как бы	5	3
68	а также	8	3
69	и он	2	3
70	данном случае	2	3
71	или в	2	3
72	он всегда	2	3
73	на смену	3	3
74	в данном	5	3
75	связи с	4	3
76	только в	7	3
77	о чем	2	3
78	уже в	2	2
79	не менее	2	2
80	и есть	2	2
81	никогда не	2	2
82	однако в	3	2
83	в своем	6	2
84	а сам	2	2
85	и во	2	2
86	с этим	3	2
87	и все	2	2
88	по себе	3	2
89	и тем	2	2
90	его как	2	2
91	представляет собой	17	2
92	есть в	2	2
93	в истории	4	2
94	на этом	2	2
95	или на	3	2
96	такого рода	4	2
97	ему в	2	2
98	в частности	9	2
99	к ним	3	2
100	хотя и	2	2
101	по своей	11	2
102	не могло	2	2
103	хотя бы	3	2
104	в нем	9	2
105	не есть	2	2
106	себя в	2	2
107	в целом	4	2
108	отношение к	4	2
109	из них	3	2
110	на том	2	2
111	дело не	2	2
112	в тексте	2	2
113	в форме	2	2
114	лишь в	4	2
115	того что	3	2
116	и на	5	2
117	сказать что	3	2
118	в себе	7	2
119	же самое	2	2
120	в этой	2	2
121	в особенности	4	2
122	так например	2	2
