N	2gram	Trubetskoy_1	DiskursI
1	не только	7	28
2	в том	30	23
3	то есть	2	20
4	том что	19	19
5	тогда как	6	19
6	может быть	16	17
7	и в	23	16
8	как и	9	16
9	в этом	12	15
10	еще не	5	14
11	но и	9	14
12	при этом	9	13
13	прежде всего	3	11
14	но не	2	11
15	и не	8	11
16	по своей	7	11
17	с другой	6	10
18	далеко не	5	10
19	в частности	2	9
20	в нем	3	9
21	отношению к	9	9
22	одной стороны	2	9
23	по отношению	9	9
24	не может	17	9
25	с одной	3	9
26	отнюдь не	2	8
27	так и	10	8
28	о том	7	8
29	но в	4	8
30	в основе	2	7
31	в его	5	7
32	то же	4	7
33	не было	2	7
34	в себе	5	7
35	только в	6	7
36	не в	8	7
37	в своем	10	6
38	к тому	8	5
39	тому же	6	5
40	в силу	7	5
41	как бы	10	5
42	в котором	2	5
43	то что	18	5
44	во всех	10	5
45	в процессе	2	5
46	а с	4	5
47	а в	3	5
48	в себя	2	5
49	в их	4	5
50	сводится к	2	5
51	отличие от	3	5
52	и на	6	5
53	в данном	3	5
54	что в	8	4
55	в сторону	2	4
56	в них	2	4
57	для себя	2	4
58	во втором	2	4
59	и к	5	4
60	что он	7	4
61	для него	2	4
62	в истории	3	4
63	в целом	5	4
64	же время	2	4
65	связи с	4	4
66	отношение к	4	4
67	лишь в	5	4
68	в которых	2	4
69	потому что	9	4
70	между тем	12	4
71	и т.д	4	4
72	того же	9	3
73	столь же	5	3
74	это не	3	3
75	вследствие этого	2	3
76	что и	7	3
77	и того	3	3
78	свою очередь	2	3
79	по своему	5	3
80	в свою	2	3
81	различия между	3	3
82	с этим	11	3
83	в самом	8	3
84	имеет место	2	3
85	к ним	2	3
86	хотя бы	4	3
87	все же	13	3
88	из них	5	3
89	как не	2	3
90	таким образом	31	3
91	именно в	5	3
92	заключается в	2	3
93	того что	6	3
94	должны быть	3	3
95	другой стороны	5	3
96	в своих	2	3
97	точки зрения	13	3
98	к той	2	3
99	в то	6	3
100	также и	2	3
101	и потому	3	3
102	из двух	2	2
103	не менее	7	2
104	никогда не	4	2
105	о котором	7	2
106	между собой	4	2
107	и без	5	2
108	же касается	2	2
109	одного и	3	2
110	и все	7	2
111	к этому	5	2
112	однако это	2	2
113	не более	2	2
114	в тех	3	2
115	к такому	2	2
116	есть в	2	2
117	более или	7	2
118	на этом	2	2
119	отличается от	6	2
120	что с	5	2
121	в начале	2	2
122	в сущности	2	2
123	иначе говоря	4	2
124	одним из	4	2
125	хотя и	4	2
126	не есть	2	2
127	с ее	2	2
128	на том	2	2
129	или менее	7	2
130	что же	2	2
131	данном случае	3	2
132	целый ряд	4	2
133	как к	5	2
134	них в	2	2
135	как мы	2	2
136	и что	8	2
137	том чтобы	2	2
138	и по	3	2
139	то с	2	2
140	во всяком	2	2
141	что касается	6	2
142	и ее	2	2
143	но как	2	2
144	в другом	2	2
145	и вообще	3	2
146	в этой	6	2
147	рассматривать как	2	2
148	они не	2	2
149	в виду	2	2
