N	3gram	Vinokur_St_3	Psycholo
1	в том что	11	17
2	с точки зрения	4	10
3	заключается в том	2	10
4	не может быть	5	8
5	и т п	6	8
6	на то что	3	6
7	в этом отношении	4	5
8	до сих пор	2	5
9	о том что	4	4
10	тем не менее	2	4
11	в то время	4	3
12	в конце концов	3	3
13	в том чтобы	2	3
14	с тем что	3	3
15	более и более	2	2
16	то же время	3	2
17	все более и	2	2
18	что в этой	2	2
19	к тому что	2	2
20	состоит в том	3	2
21	во всяком случае	4	2
22	в то же	3	2
23	в этой области	2	2
24	и т д	2	2
25	не в том	3	2
26	то время как	4	2
27	с другой стороны	4	2
