N	2gram	Tiupa_Narr_2	slovoVRo
1	и в	13	39
2	может быть	10	37
3	и т	2	35
4	и его	3	33
5	т п	2	33
6	то есть	9	26
7	не только	26	24
8	и не	14	22
9	но и	15	21
10	не может	8	20
11	в нем	5	19
12	в этом	13	16
13	так и	9	15
14	а не	17	14
15	как в	5	13
16	отличие от	5	13
17	в процессе	2	13
18	в отличие	5	12
19	вовсе не	2	10
20	к своему	2	9
21	не в	8	9
22	со своим	2	9
23	прежде всего	6	8
24	себя в	2	8
25	оно не	2	8
26	таким образом	5	8
27	точки зрения	5	8
28	с его	3	7
29	при этом	14	7
30	для него	4	7
31	еще не	2	7
32	в его	6	7
33	как бы	6	7
34	никогда не	6	7
35	и даже	3	7
36	с ним	4	7
37	в него	2	7
38	человек в	3	6
39	и к	6	6
40	все же	6	6
41	как и	4	6
42	в своем	6	6
43	но не	3	6
44	жизни и	4	6
45	все эти	3	6
46	в слове	3	6
47	так сказать	3	6
48	но в	6	6
49	с другой	5	5
50	это не	3	5
51	и для	3	5
52	и все	4	5
53	для нас	2	5
54	том что	13	5
55	или иной	3	5
56	одной стороны	5	5
57	только в	11	5
58	в том	14	5
59	той или	3	5
60	один из	3	5
61	с одной	5	5
62	уже не	4	5
63	с ними	3	5
64	героя и	2	5
65	мира и	3	5
66	не менее	4	4
67	на фоне	2	4
68	отношению к	5	4
69	же время	3	4
70	одна из	3	4
71	по отношению	5	4
72	то же	4	4
73	в той	5	4
74	в таком	3	4
75	а в	9	4
76	дело с	2	4
77	в то	5	4
78	здесь не	2	4
79	перед нами	4	3
80	что в	4	3
81	точку зрения	3	3
82	хотя бы	2	3
83	не столько	5	3
84	должна быть	2	3
85	в состав	3	3
86	в свою	2	3
87	что и	2	3
88	но это	2	3
89	у него	6	3
90	как к	3	3
91	в ней	2	3
92	этом отношении	3	3
93	героя в	6	3
94	а также	6	3
95	с точки	2	3
96	той же	2	3
97	или даже	3	3
98	сказать что	3	3
99	между тем	3	3
100	говорить о	2	3
101	в чем	2	3
102	как это	4	3
103	действующих лиц	3	2
104	в данном	10	2
105	и более	2	2
106	хотя и	5	2
107	однако в	2	2
108	в нашем	2	2
109	жизни в	6	2
110	но он	2	2
111	как уже	2	2
112	и внутренней	2	2
113	в себе	8	2
114	и здесь	2	2
115	что он	5	2
116	на протяжении	5	2
117	все что	4	2
118	как о	2	2
119	со всеми	2	2
120	к ней	3	2
121	о нем	3	2
122	не все	2	2
123	с таким	2	2
124	то что	8	2
125	подчеркнуть что	2	2
126	те же	2	2
127	на него	5	2
128	в форме	5	2
129	в виде	2	2
130	именно в	2	2
131	в себя	4	2
132	мы не	2	2
133	они не	2	2
134	и т.п	6	2
135	того чтобы	3	2
136	в чужой	2	2
137	роль в	2	2
138	в результате	2	2
139	он не	5	2
140	далеко не	5	2
141	к его	3	2
142	в другом	4	2
143	о том	5	2
144	как он	2	2
145	зрения на	2	2
146	в области	2	2
