N	2gram	Propp_Russ_1	DiskursI
1	в качестве	3	34
2	не только	22	28
3	в том	17	23
4	а не	2	22
5	то есть	3	20
6	том что	19	19
7	тогда как	2	19
8	может быть	8	17
9	представляет собой	4	17
10	и в	36	16
11	как и	10	16
12	в этом	12	15
13	еще не	4	14
14	но и	16	14
15	при этом	6	13
16	но не	2	11
17	и не	6	11
18	как в	5	10
19	далеко не	3	10
20	в частности	2	9
21	состоит в	8	9
22	в нем	2	9
23	не может	4	9
24	а также	3	8
25	отнюдь не	2	8
26	своего рода	3	8
27	так и	7	8
28	о том	8	8
29	но в	2	8
30	в его	2	7
31	то же	3	7
32	не было	2	7
33	только в	4	7
34	в своем	3	6
35	и как	2	6
36	к тому	4	5
37	в силу	2	5
38	как бы	5	5
39	то что	6	5
40	во всех	4	5
41	а с	4	5
42	а в	9	5
43	в их	4	5
44	и на	10	5
45	что в	19	4
46	в них	6	4
47	и к	3	4
48	уже не	6	4
49	в целом	2	4
50	привело к	2	4
51	связи с	4	4
52	в особенности	2	4
53	в которых	5	4
54	потому что	10	4
55	между тем	7	4
56	могут быть	2	4
57	как правило	3	4
58	для обозначения	2	3
59	это не	10	3
60	как уже	4	3
61	что и	7	3
62	свою очередь	2	3
63	они и	2	3
64	в свою	3	3
65	с этим	2	3
66	имеет место	2	3
67	к ним	3	3
68	еще в	4	3
69	или на	3	3
70	один из	8	3
71	не с	3	3
72	все же	5	3
73	из них	8	3
74	как не	2	3
75	таким образом	6	3
76	того что	4	3
77	в своих	2	3
78	тем что	4	3
79	точки зрения	3	3
80	и потому	2	3
81	слова в	3	2
82	но они	3	2
83	не менее	3	2
84	в разные	2	2
85	между собой	2	2
86	в какой	2	2
87	в одном	3	2
88	в каждом	2	2
89	к этому	4	2
90	в году	2	2
91	в тех	4	2
92	об этом	9	2
93	его как	2	2
94	в г	4	2
95	е годы	2	2
96	на этом	3	2
97	так например	6	2
98	народного творчества	2	2
99	хотя и	2	2
100	в равной	2	2
101	и др	4	2
102	будто бы	6	2
103	например в	2	2
104	когда он	2	2
105	в е	2	2
106	в различных	2	2
107	приводит к	3	2
108	них в	2	2
109	как мы	10	2
110	и что	4	2
111	и по	8	2
112	к другому	2	2
113	или в	2	2
114	мы имеем	4	2
115	на себя	2	2
116	о чем	3	2
