N	2gram	Bakhtin_Fr_2	Psycholo
1	то что	6	32
2	и в	49	31
3	в том	3	30
4	то есть	32	26
5	что в	2	23
6	может быть	5	22
7	таким образом	7	20
8	при этом	5	19
9	так как	6	18
10	не может	7	17
11	как и	11	16
12	том что	4	16
13	и не	15	16
14	точки зрения	6	15
15	только в	13	14
16	не только	17	13
17	так же	2	12
18	в этом	15	12
19	в самом	3	11
20	могут быть	2	11
21	в области	4	11
22	на то	2	10
23	в сущности	8	10
24	ни в	3	9
25	никогда не	5	8
26	вместе с	2	8
27	все это	9	8
28	во всяком	2	8
29	что он	3	7
30	есть в	2	7
31	и его	17	7
32	того чтобы	2	7
33	тому как	2	7
34	сказать что	6	7
35	о том	3	7
36	вовсе не	10	6
37	одной стороны	3	6
38	до конца	2	6
39	было бы	3	6
40	из этих	5	6
41	всяком случае	2	6
42	целый ряд	2	6
43	а в	4	6
44	и даже	2	6
45	в его	18	6
46	и все	3	5
47	в ее	3	5
48	все же	7	5
49	с одной	3	5
50	несмотря на	3	5
51	совершенно не	2	5
52	в эстетике	2	5
53	как бы	11	5
54	другой стороны	3	5
55	то же	7	5
56	с другой	4	5
57	подобно тому	2	5
58	в то	6	5
59	и другие	2	4
60	в виду	3	4
61	прежде всего	19	4
62	в себе	4	4
63	по существу	2	4
64	одна из	4	4
65	у него	2	4
66	со всеми	2	4
67	и о	4	4
68	точка зрения	3	4
69	один из	7	4
70	в этих	4	4
71	в своих	4	4
72	мы можем	2	4
73	там где	4	4
74	под влиянием	2	3
75	уже в	5	3
76	как на	4	3
77	в своем	5	3
78	точку зрения	2	3
79	та же	2	3
80	в собственном	3	3
81	и к	4	3
82	это и	2	3
83	но это	2	3
84	но не	5	3
85	все что	2	3
86	до сих	4	3
87	в этой	10	3
88	хотя и	2	3
89	сих пор	4	3
90	жизни и	7	3
91	в своей	5	3
92	собственном смысле	2	3
93	так и	6	3
94	не было	4	3
95	и других	3	3
96	и вот	3	3
97	роль в	5	3
98	нуждается в	2	3
99	во всем	3	3
100	в конце	2	3
101	и это	3	3
102	в художественном	2	3
103	в произведении	2	3
104	но в	4	3
105	в книге	3	2
106	но даже	2	2
107	и без	2	2
108	в них	13	2
109	и во	4	2
110	человека и	3	2
111	в жизни	4	2
112	это в	2	2
113	с ним	4	2
114	там же	2	2
115	есть для	2	2
116	и потому	5	2
117	что они	2	2
118	в качестве	2	2
119	всех других	2	2
120	не дает	3	2
121	тот же	5	2
122	по поводу	2	2
123	о чем	3	2
124	и следовательно	2	2
125	далеко не	3	2
126	в него	2	2
127	даже в	3	2
128	речь и	2	2
129	наконец в	3	2
130	к числу	2	2
131	в нем	9	2
132	мы видели	3	2
133	отношение к	8	2
134	из них	3	2
135	зрения на	2	2
136	но и	13	2
137	без всякого	2	2
138	как мы	7	2
139	в связи	2	2
140	этом отношении	3	2
141	на самом	2	2
142	в себя	6	2
143	на основе	2	2
144	к нему	3	2
145	с точки	5	2
146	что для	3	2
147	ничего не	2	2
148	как к	2	2
149	их в	3	2
150	и с	6	2
151	что только	2	2
152	тех же	2	2
153	почти все	3	2
154	только то	2	2
155	в одном	3	2
