N	3gram	Vinokur_Vv_1	StatiiOP
1	в том что	12	16
2	о том что	12	11
3	в этом отношении	3	9
4	и т д	37	6
5	до сих пор	5	5
6	вместе с тем	3	5
7	для того чтобы	21	5
8	после того как	2	4
9	дело в том	2	4
10	обратить внимание на	2	4
11	с другой стороны	5	3
12	во всяком случае	3	3
13	вопрос о том	5	3
14	и т п	5	3
15	в отличие от	3	2
16	в другом месте	2	2
17	по этому поводу	2	2
18	в самом деле	5	2
19	но все же	3	2
20	и в этом	3	2
21	в той мере	4	2
22	с точки зрения	2	2
23	той мере в	4	2
24	не в том	2	2
25	мере в какой	4	2
26	с тем что	3	2
27	тем не менее	8	2
28	принять во внимание	2	2
29	не до конца	2	2
