N	2gram	Losev_Prob_2	Hudozhes
1	и в	35	28
2	том что	19	19
3	и не	37	18
4	в том	12	15
5	а не	10	14
6	не в	2	13
7	в этом	17	13
8	о том	18	12
9	перед нами	2	11
10	как и	5	11
11	при этом	3	11
12	в его	7	11
13	не только	24	11
14	уже не	8	10
15	но и	16	9
16	в себе	5	9
17	о чем	6	8
18	что он	4	8
19	может быть	18	8
20	так и	7	8
21	и все	5	7
22	к тому	3	7
23	об этом	2	7
24	в частности	5	7
25	что она	4	7
26	казалось бы	7	6
27	можно сказать	6	6
28	то что	38	6
29	если бы	4	6
30	то же	5	6
31	не было	3	6
32	сводится к	2	6
33	а в	4	6
34	и с	10	6
35	тем что	4	6
36	для себя	9	6
37	в то	6	6
38	не менее	13	5
39	в своем	4	5
40	как бы	4	5
41	да и	10	5
42	в этой	9	5
43	что в	11	5
44	она не	3	5
45	и сам	2	5
46	в самом	5	5
47	только на	9	5
48	ничего не	10	5
49	бы и	7	4
50	тому что	3	4
51	тем не	12	4
52	но не	4	4
53	что они	3	4
54	в качестве	2	4
55	для того	3	4
56	о своем	2	4
57	и о	4	4
58	он не	2	4
59	что и	2	4
60	и т	6	4
61	как раз	8	4
62	то и	4	4
63	не может	13	4
64	того чтобы	2	4
65	подобно тому	2	4
66	как будто	6	4
67	только в	14	4
68	тому как	3	4
69	как только	3	3
70	бы не	3	3
71	в них	2	3
72	о них	2	3
73	в состоянии	2	3
74	с другой	6	3
75	но при	2	3
76	что все	6	3
77	с нею	2	3
78	прежде всего	11	3
79	и ее	2	3
80	что на	4	3
81	для нас	9	3
82	самом деле	4	3
83	все что	3	3
84	как о	3	3
85	еще не	10	3
86	одной стороны	5	3
87	было бы	8	3
88	по поводу	2	3
89	несмотря на	3	3
90	ни о	4	3
91	по преимуществу	2	3
92	в ней	2	3
93	мы уже	3	3
94	ли в	2	3
95	не все	4	3
96	в этих	4	3
97	на него	2	3
98	все это	4	3
99	с одной	5	3
100	чтобы не	2	3
101	едва ли	9	3
102	внимание на	3	3
103	так же	5	3
104	или в	2	3
105	можно было	5	3
106	с другими	5	3
107	и на	5	3
108	пока еще	9	3
109	же самое	6	3
110	будто бы	5	3
111	и это	5	3
112	к нему	2	3
113	в основе	3	2
114	он сам	3	2
115	в голову	2	2
116	только не	3	2
117	отнюдь не	5	2
118	нельзя было	3	2
119	они все	2	2
120	и от	3	2
121	из этих	3	2
122	гораздо более	4	2
123	вовсе не	37	2
124	или иного	5	2
125	или иной	5	2
126	как мы	5	2
127	о которых	3	2
128	ли он	3	2
129	одна из	3	2
130	но именно	4	2
131	мысль о	2	2
132	что не	5	2
133	и к	3	2
134	и а	2	2
135	о двух	2	2
136	того или	7	2
137	же и	2	2
138	о нем	2	2
139	а также	2	2
140	до сих	4	2
141	не является	7	2
142	один из	3	2
143	в нашем	3	2
144	оно не	3	2
145	это было	2	2
146	все же	8	2
147	внутри себя	2	2
148	не будет	11	2
149	как же	4	2
150	ни с	2	2
151	вместе с	2	2
152	сих пор	4	2
153	данном случае	5	2
154	что же	9	2
155	мысли и	2	2
156	как на	2	2
157	здесь не	2	2
158	т д	6	2
159	еще и	5	2
160	лишь в	3	2
161	тем самым	7	2
162	хотя бы	12	2
163	и для	6	2
164	той же	2	2
165	роль в	2	2
166	в данном	10	2
167	и то	10	2
168	сказать что	24	2
169	потому что	13	2
170	в виде	6	2
171	точки зрения	2	2
172	с самим	3	2
173	не во	3	2
174	себе в	2	2
175	говорить о	10	2
176	и только	4	2
177	его в	3	2
178	нет ничего	2	2
179	но в	6	2
180	тоже не	7	2
