N	2gram	Medvedev_F_1	Literetu
1	и не	20	22
2	и в	24	16
3	в мире	4	16
4	при этом	5	15
5	не только	7	14
6	но и	7	14
7	в этом	15	14
8	а не	10	12
9	то что	8	12
10	может быть	14	12
11	в том	6	12
12	в частности	4	11
13	не в	8	10
14	то же	10	9
15	так и	18	9
16	того что	5	9
17	в то	9	9
18	в жизни	3	8
19	не может	16	8
20	в этой	6	8
21	как бы	6	8
22	в противовес	2	7
23	в своей	11	7
24	же время	8	7
25	со стороны	5	7
26	тем самым	3	7
27	точки зрения	16	7
28	только в	2	7
29	с его	4	6
30	с другой	5	6
31	произведение искусства	2	6
32	к тому	3	6
33	еще не	6	6
34	в его	23	6
35	и его	10	6
36	в себе	3	6
37	это не	2	5
38	в году	2	5
39	что он	3	5
40	в ее	8	5
41	как и	11	5
42	лишь в	8	5
43	в целом	6	5
44	вместе с	2	5
45	как в	8	5
46	а в	6	5
47	именно в	8	5
48	в основе	3	5
49	место в	7	4
50	но не	3	4
51	никогда не	4	4
52	по существу	2	4
53	до конца	7	4
54	одной стороны	4	4
55	и если	2	4
56	об искусстве	3	4
57	отношению к	4	4
58	по отношению	4	4
59	жизни в	2	4
60	входит в	6	4
61	с одной	4	4
62	должно быть	11	4
63	в одном	2	4
64	произведения в	8	3
65	все время	2	3
66	в единстве	7	3
67	отнюдь не	6	3
68	прежде всего	22	3
69	более того	3	3
70	и как	3	3
71	мира в	2	3
72	и к	4	3
73	на его	2	3
74	в самом	5	3
75	наконец в	3	3
76	искусства и	5	3
77	еще в	2	3
78	однако не	2	3
79	с ее	7	3
80	жизни и	7	3
81	уже не	2	3
82	самом деле	6	3
83	и наконец	3	3
84	с точки	13	3
85	как на	4	3
86	как это	6	3
87	отношения к	6	3
88	в области	3	3
89	но в	5	3
90	между тем	2	3
91	вещей в	2	2
92	а лишь	2	2
93	художественного произведения	23	2
94	ни было	2	2
95	жизни не	2	2
96	что в	4	2
97	не менее	11	2
98	если бы	4	2
99	все более	2	2
100	то ни	3	2
101	в лице	2	2
102	как о	4	2
103	оно не	4	2
104	с этой	4	2
105	не как	4	2
106	вопрос о	2	2
107	за свой	2	2
108	по себе	5	2
109	стороны и	4	2
110	со всей	3	2
111	в нем	14	2
112	и ее	10	2
113	же в	3	2
114	у нас	5	2
115	связи с	3	2
116	это последнее	3	2
117	в свою	8	2
118	для него	3	2
119	было бы	6	2
120	со всеми	3	2
121	во всех	5	2
122	как таковое	2	2
123	том чтобы	2	2
124	в работе	2	2
125	один из	3	2
126	не с	2	2
127	что и	2	2
128	все же	3	2
129	бы то	3	2
130	отношение к	3	2
131	когда он	3	2
132	время в	3	2
133	бытия в	3	2
134	как мы	5	2
135	во всей	2	2
136	так же	4	2
137	как раз	2	2
138	по аналогии	3	2
139	художественное произведение	6	2
140	и вот	2	2
141	целом и	4	2
142	действительности в	2	2
143	и даже	3	2
144	или иначе	2	2
145	в своих	2	2
146	и на	8	2
147	и с	8	2
148	в живом	6	2
149	он в	2	2
150	чтобы он	2	2
151	его в	3	2
152	и потому	9	2
153	здесь не	3	2
154	жизнь как	3	2
