N	2gram	Losev_Vlad_1	NovoeSre
1	не может	6	16
2	и в	31	16
3	совсем не	4	12
4	и не	17	11
5	что в	14	9
6	жизни и	5	8
7	он не	10	8
8	в том	11	8
9	как и	4	7
10	в этом	14	7
11	может быть	6	7
12	с его	11	6
13	никогда не	9	6
14	не в	5	6
15	лишь в	2	6
16	но это	3	6
17	ни в	2	6
18	в нем	4	5
19	все это	5	5
20	в жизни	3	5
21	и к	6	5
22	не только	24	5
23	не менее	2	4
24	то что	18	4
25	в них	2	4
26	и все	4	4
27	не было	5	4
28	и для	2	4
29	потому что	11	4
30	по своему	3	4
31	и мы	2	4
32	о том	11	4
33	и потому	6	4
34	к жизни	2	3
35	но и	19	3
36	в своей	4	3
37	в истории	4	3
38	с другой	3	3
39	к тому	3	3
40	что такое	2	3
41	бога и	2	3
42	с тем	2	3
43	конечно не	2	3
44	как в	3	3
45	еще не	2	3
46	в россии	4	3
47	за пределы	3	3
48	сказать что	7	3
49	это было	6	3
50	времени в	2	2
51	что все	2	2
52	я не	4	2
53	и весь	2	2
54	себя в	4	2
55	место в	2	2
56	у него	15	2
57	вместе с	3	2
58	но она	3	2
59	так и	6	2
60	что она	2	2
61	мысли и	4	2
62	другой стороны	3	2
63	и от	5	2
64	а в	9	2
65	этом смысле	4	2
66	все эти	3	2
67	уже не	3	2
68	нет и	2	2
69	того чтобы	2	2
70	и даже	15	2
71	хотя бы	2	2
72	но не	3	2
73	в свои	2	2
74	по существу	2	2
75	это и	2	2
76	том что	14	2
77	но я	3	2
78	и с	14	2
79	и что	6	2
80	и на	3	2
81	в себе	4	2
82	в то	8	2
83	и это	2	2
84	такого рода	4	2
85	том чтобы	2	2
86	как это	7	2
87	хотя и	4	2
88	но в	12	2
