N	2gram	Bakhtin_Fr_3	Problema
1	то есть	18	39
2	то что	5	38
3	и не	13	37
4	вовсе не	12	37
5	и в	40	35
6	сказать что	3	24
7	не только	13	24
8	том что	4	19
9	даже и	2	18
10	о том	4	18
11	может быть	9	18
12	у нас	4	18
13	в этом	15	17
14	но и	11	16
15	такого рода	3	15
16	в языке	2	15
17	только в	3	14
18	не менее	2	13
19	потому что	2	13
20	не может	3	13
21	в том	8	12
22	также и	4	12
23	хотя бы	2	12
24	что в	12	11
25	прежде всего	16	11
26	и даже	4	11
27	никак не	3	11
28	и с	8	10
29	еще не	3	10
30	а не	5	10
31	в данном	4	10
32	в этой	3	9
33	только на	4	9
34	было бы	4	8
35	в виду	7	8
36	как раз	5	8
37	все же	2	8
38	тут же	2	8
39	в конце	3	7
40	смысле слова	4	7
41	все эти	8	7
42	в его	13	7
43	так и	3	7
44	так как	4	7
45	мы не	2	7
46	с другой	2	6
47	другими словами	3	6
48	можно сказать	2	6
49	ни в	4	6
50	но это	3	6
51	о чем	2	6
52	но как	2	6
53	в то	6	6
54	и для	5	6
55	но в	8	6
56	в области	4	6
57	в частности	3	5
58	представление о	2	5
59	или иной	2	5
60	кроме того	3	5
61	в самом	6	5
62	той или	2	5
63	данном случае	2	5
64	в связи	5	5
65	с этим	2	5
66	и на	8	5
67	и все	9	5
68	как и	11	5
69	связи с	6	5
70	то же	7	5
71	как мы	10	5
72	можно было	3	5
73	в себе	3	5
74	еще и	2	5
75	и это	2	5
76	не был	2	4
77	и есть	3	4
78	в этих	6	4
79	в своем	7	4
80	и как	3	4
81	и той	2	4
82	и следовательно	3	4
83	как бы	3	4
84	все это	4	4
85	таким образом	10	4
86	а в	3	4
87	их в	3	4
88	и здесь	4	4
89	тем что	3	4
90	всех этих	3	4
91	если бы	3	4
92	что он	2	4
93	но не	2	4
94	до сих	4	4
95	но именно	3	4
96	и о	4	4
97	сих пор	4	4
98	на самом	3	4
99	самом деле	3	4
100	далеко не	2	4
101	слова и	2	4
102	уже в	2	3
103	в нашем	4	3
104	и от	3	3
105	из этих	2	3
106	в нашей	2	3
107	и если	2	3
108	мы еще	6	3
109	мы уже	13	3
110	один из	4	3
111	в целом	2	3
112	в их	4	3
113	для этого	3	3
114	не было	5	3
115	одновременно и	2	3
116	при этом	3	3
117	здесь мы	2	3
118	лишь в	2	3
119	и наконец	3	3
120	что для	2	3
121	в своих	5	3
122	в основе	5	3
123	в истории	4	3
124	но ведь	3	3
125	здесь только	2	3
126	и к	3	3
127	это и	2	3
128	одна из	3	3
129	все что	2	3
130	и этот	2	3
131	всем этим	2	3
132	в значительной	3	3
133	в свете	3	3
134	для того	3	3
135	нас в	2	3
136	в таких	3	3
137	как о	2	3
138	до наших	2	2
139	том числе	3	2
140	эти элементы	2	2
141	большую роль	2	2
142	в той	6	2
143	значение этого	2	2
144	но все	3	2
145	числе и	2	2
146	и сам	2	2
147	и др	7	2
148	в состоянии	2	2
149	к нему	2	2
150	язык и	2	2
151	даже в	4	2
152	в системе	2	2
153	не так	3	2
154	в ней	4	2
155	же и	3	2
156	точки зрения	2	2
157	во все	3	2
158	в плане	2	2
159	слово в	3	2
160	это в	2	2
161	в них	9	2
162	с нею	2	2
163	в условиях	2	2
164	об этом	3	2
165	в корне	2	2
166	конечно не	2	2
167	по преимуществу	2	2
168	в заключение	4	2
169	он не	9	2
170	о нем	3	2
171	а также	4	2
172	еще в	3	2
173	что и	3	2
174	во всех	6	2
175	вместе с	3	2
176	это вовсе	2	2
177	и прежде	3	2
178	как нечто	2	2
179	еще более	4	2
180	одной и	2	2
181	того чтобы	4	2
182	свидетельствует о	2	2
183	той же	8	2
184	роль в	4	2
185	из самых	2	2
186	и ее	2	2
187	и вы	4	2
188	ни от	2	2
189	из этого	2	2
190	здесь не	3	2
