N	2gram	Losev_Prob_1	Morfolog
1	может быть	14	52
2	и т	11	49
3	т д	10	47
4	и пр	4	40
5	таким образом	6	20
6	не может	8	17
7	в этих	3	16
8	могут быть	2	15
9	с этим	3	14
10	этих случаях	3	14
11	и в	32	13
12	в этом	19	13
13	действующих лиц	2	13
14	так как	11	12
15	перед нами	5	11
16	мы видим	2	11
17	связи с	5	11
18	прежде всего	10	9
19	этом случае	2	9
20	так и	12	9
21	в связи	4	9
22	то же	10	9
23	и не	31	9
24	а не	15	9
25	мы имеем	2	9
26	с другой	3	8
27	по существу	2	8
28	при помощи	13	8
29	в результате	2	8
30	в качестве	2	7
31	но если	2	7
32	это не	6	6
33	не могут	2	6
34	и здесь	6	6
35	в том	9	6
36	но не	9	6
37	а также	4	6
38	а в	4	6
39	подобно тому	2	6
40	не менее	19	5
41	тому как	2	5
42	если мы	11	5
43	мы увидим	3	5
44	во всех	7	5
45	далеко не	5	5
46	как бы	14	5
47	один из	4	5
48	то что	42	5
49	или в	4	5
50	потому что	16	5
51	мы не	2	5
52	что в	12	4
53	и как	6	4
54	вовсе не	35	4
55	об этом	10	4
56	увидим ниже	2	4
57	что его	3	4
58	тем не	18	4
59	случае не	3	4
60	было бы	8	4
61	не хватает	2	4
62	на его	2	4
63	несмотря на	3	4
64	не только	17	4
65	как в	4	4
66	как мы	7	4
67	другой стороны	3	4
68	так же	9	4
69	как и	3	4
70	хотя и	6	4
71	тем что	7	4
72	точки зрения	3	4
73	с точки	3	4
74	также и	11	4
75	его в	6	4
76	ничего не	10	4
77	в других	5	4
78	только что	2	3
79	прежде чем	3	3
80	если бы	4	3
81	с собой	2	3
82	он должен	2	3
83	же в	4	3
84	том что	12	3
85	но все	3	3
86	но это	8	3
87	что они	3	3
88	кроме того	2	3
89	того чтобы	9	3
90	в сущности	2	3
91	он не	3	3
92	не является	5	3
93	и другим	2	3
94	в первом	2	3
95	ни в	7	3
96	но и	9	3
97	входит в	4	3
98	на самом	6	3
99	самом деле	6	3
100	к нему	3	3
101	и для	4	3
102	мы можем	4	3
103	из них	3	3
104	и ее	8	3
105	большей частью	2	3
106	в то	6	3
107	мы должны	5	3
108	но в	14	3
109	значит что	3	3
110	что ни	2	2
111	совсем не	4	2
112	с тем	5	2
113	в виде	15	2
114	однако в	2	2
115	хотя бы	3	2
116	чтобы его	2	2
117	сразу же	2	2
118	точно так	4	2
119	например на	2	2
120	таких случаях	2	2
121	что он	7	2
122	можно сказать	5	2
123	на первый	2	2
124	то в	5	2
125	и при	2	2
126	только в	7	2
127	тем и	2	2
128	есть и	3	2
129	смысле слова	7	2
130	момент в	2	2
131	для него	2	2
132	но есть	2	2
133	мы уже	5	2
134	или на	3	2
135	но для	3	2
136	не значит	2	2
137	в таких	2	2
138	в настоящее	3	2
139	оно не	3	2
140	не существует	6	2
141	от других	2	2
142	сказать о	2	2
143	быть и	3	2
144	без всякой	2	2
145	или менее	3	2
146	вопроса о	2	2
147	есть нечто	11	2
148	и только	4	2
149	все эти	8	2
150	перейти к	4	2
151	и что	9	2
152	того что	7	2
153	для того	8	2
154	что такое	6	2
155	уже не	3	2
156	не имеет	2	2
157	и его	3	2
158	можно было	3	2
159	является в	2	2
160	в каком	3	2
161	мы получаем	3	2
162	настоящее время	3	2
163	или не	3	2
164	что мы	13	2
165	о том	11	2
166	ясно что	3	2
167	здесь не	7	2
168	сказать что	13	2
169	а эта	2	2
170	как это	6	2
171	более или	3	2
172	это было	2	2
