N	2gram	Tiupa_Disk_2	Russkaja
1	не может	9	22
2	и не	15	19
3	в том	8	17
4	в этом	16	17
5	и в	16	14
6	то что	5	13
7	то же	6	11
8	точки зрения	4	11
9	же время	5	10
10	но и	11	10
11	в то	5	10
12	том что	10	9
13	не только	10	9
14	в себе	19	9
15	с точки	2	9
16	может быть	16	9
17	прежде всего	7	8
18	как на	3	8
19	ни к	5	7
20	отнюдь не	6	7
21	в данном	7	7
22	о том	4	7
23	и с	2	7
24	что он	2	6
25	для него	5	6
26	к которой	2	6
27	все это	2	6
28	в своем	5	6
29	и для	2	6
30	в своих	6	6
31	жизни в	3	5
32	и на	5	5
33	или иной	3	5
34	при этом	17	5
35	в своей	6	5
36	он не	3	5
37	никогда не	2	5
38	в нем	7	5
39	а в	2	5
40	потому что	4	5
41	только в	3	5
42	между тем	2	5
43	но не	7	4
44	что в	5	4
45	в мире	11	4
46	как и	16	4
47	как бы	4	4
48	все же	6	4
49	себя в	6	4
50	жизни и	3	4
51	вместе с	2	4
52	со стороны	10	4
53	что же	2	4
54	приводит к	3	4
55	не в	3	4
56	и то	4	4
57	в этой	4	4
58	в его	3	4
59	его в	3	4
60	именно в	2	3
61	в большинстве	2	3
62	из этих	3	3
63	этом случае	2	3
64	и как	3	3
65	в другом	3	3
66	должно быть	2	3
67	в качестве	16	3
68	еще не	6	3
69	той или	3	3
70	что и	2	3
71	из них	3	3
72	данном случае	6	3
73	при котором	2	3
74	не было	3	3
75	сводится к	2	3
76	говорить о	2	3
77	место в	2	2
78	а с	5	2
79	должна быть	2	2
80	в частности	12	2
81	не подлежит	2	2
82	это в	2	2
83	состоит в	16	2
84	или иного	2	2
85	этот человек	2	2
86	ни в	7	2
87	уже не	3	2
88	но это	3	2
89	является не	2	2
90	проявляется в	3	2
91	в ней	2	2
92	в котором	3	2
93	на почве	2	2
94	для себя	2	2
95	не к	2	2
96	время в	2	2
97	но она	3	2
98	по отношению	4	2
99	тогда как	11	2
100	все эти	3	2
101	и состоит	2	2
102	тем самым	6	2
103	а не	14	2
104	и наконец	3	2
105	в результате	2	2
106	их в	2	2
107	не о	2	2
108	как будто	3	2
109	в этих	3	2
110	в области	2	2
111	но в	11	2
