N	2gram	Bakhtin_Pr_1	Istorich
1	и т	14	27
2	и в	38	26
3	то что	8	16
4	не только	9	15
5	что в	7	14
6	может быть	26	14
7	но и	9	12
8	связь с	3	12
9	и пр	2	11
10	что он	2	10
11	так и	5	10
12	таким образом	10	10
13	и его	16	10
14	что и	2	9
15	все же	6	9
16	и не	42	9
17	его в	9	9
18	то же	5	8
19	а в	6	8
20	в этих	2	7
21	как и	7	7
22	он не	3	7
23	как в	4	7
24	в этом	15	7
25	мы имеем	2	7
26	не всегда	6	6
27	в дальнейшем	3	6
28	еще не	7	6
29	не может	27	6
30	а не	5	6
31	к нему	10	6
32	мы можем	6	6
33	могут быть	5	6
34	и как	8	5
35	это не	5	5
36	к этому	2	5
37	но не	12	5
38	и только	4	5
39	ничего не	6	5
40	в его	43	5
41	и у	2	5
42	и др	8	5
43	в некоторых	2	5
44	как мы	7	5
45	и что	2	5
46	из которых	2	5
47	не в	7	5
48	с ними	4	5
49	и с	17	5
50	тем что	2	5
51	и здесь	2	5
52	в другом	2	5
53	мы должны	2	5
54	но в	4	5
55	с другой	7	4
56	вовсе не	2	4
57	в тех	3	4
58	все что	3	4
59	в своей	7	4
60	другой стороны	4	4
61	здесь не	4	4
62	и даже	3	4
63	дает нам	2	4
64	о том	4	4
65	и более	2	3
66	он должен	2	3
67	к себе	2	3
68	к своему	2	3
69	в том	8	3
70	по существу	2	3
71	том что	3	3
72	и других	2	3
73	но это	3	3
74	и при	2	3
75	во всем	2	3
76	при этом	5	3
77	она не	2	3
78	и другие	2	3
79	мы увидим	3	3
80	например в	3	3
81	относится к	4	3
82	как бы	22	3
83	все эти	5	3
84	и он	2	3
85	на то	2	3
86	на него	3	3
87	данном случае	4	3
88	не на	5	3
89	как это	2	3
90	между ними	4	3
91	не имеет	9	3
92	есть только	2	3
93	как нечто	3	3
94	или в	2	3
95	в данном	4	3
96	связи с	2	3
97	только в	13	3
98	что эта	2	3
99	там где	6	3
100	с миром	4	3
101	не могут	2	2
102	должна быть	4	2
103	не менее	4	2
104	и есть	2	2
105	никогда не	5	2
106	он может	2	2
107	в своем	5	2
108	формы и	5	2
109	и во	2	2
110	и все	3	2
111	иногда и	3	2
112	а как	3	2
113	и тем	3	2
114	с помощью	7	2
115	тем не	3	2
116	его как	3	2
117	ни в	11	2
118	этот момент	2	2
119	в истории	2	2
120	одна из	2	2
121	от него	3	2
122	от них	2	2
123	на этом	2	2
124	не дает	2	2
125	было бы	8	2
126	том как	2	2
127	если бы	3	2
128	конечно не	5	2
129	у нас	2	2
130	в частности	2	2
131	в современной	2	2
132	хотя и	3	2
133	хотя бы	4	2
134	в нем	15	2
135	не есть	6	2
136	себя в	2	2
137	в целом	3	2
138	не к	6	2
139	отношение к	10	2
140	другими словами	2	2
141	в форме	4	2
142	все это	3	2
143	что это	2	2
144	в связи	2	2
145	в других	4	2
146	здесь мы	2	2
147	лишь в	2	2
148	мы здесь	4	2
149	того что	2	2
150	случае мы	2	2
151	в таких	2	2
152	и на	3	2
153	сказать что	4	2
154	в виде	2	2
155	в себе	4	2
156	же самое	2	2
157	в особенности	2	2
158	и этим	6	2
159	в области	11	2
