N	2gram	Bakhtin_Pr_5	Problema
1	то что	10	42
2	вовсе не	7	35
3	то есть	16	33
4	и в	35	32
5	и не	27	31
6	не просто	2	23
7	не менее	2	19
8	в этом	14	19
9	не только	10	17
10	потому что	8	16
11	по себе	4	15
12	а не	4	15
13	в виде	7	15
14	в себе	5	15
15	как бы	31	14
16	может быть	14	14
17	но в	19	14
18	в нем	16	13
19	сказать что	3	13
20	как раз	4	13
21	что в	6	12
22	том что	3	12
23	так и	8	12
24	и даже	5	11
25	о том	2	11
26	так как	4	11
27	то же	15	10
28	прежде всего	12	10
29	ничего не	3	10
30	но не	6	9
31	в том	5	9
32	но и	14	9
33	и что	6	9
34	так же	7	9
35	раз и	3	9
36	по своему	4	9
37	еще не	7	9
38	что же	7	9
39	и это	5	9
40	есть только	2	8
41	не может	18	8
42	все эти	3	8
43	и на	6	8
44	даже и	3	8
45	он и	5	8
46	было бы	3	8
47	в своей	4	8
48	но это	6	8
49	никогда не	4	7
50	ни в	2	7
51	все это	14	7
52	того что	3	7
53	всех этих	2	7
54	в них	4	7
55	и все	15	7
56	что он	24	7
57	во всех	3	7
58	как мы	8	7
59	во всяком	4	7
60	сам по	2	7
61	тем что	4	7
62	только в	6	7
63	в конце	5	6
64	так что	5	6
65	и как	2	6
66	при этом	2	6
67	в самом	6	6
68	хотя и	2	6
69	в виду	3	6
70	как символ	3	6
71	таким образом	7	6
72	это не	3	6
73	но как	4	6
74	говорить о	3	6
75	и то	5	6
76	его в	4	6
77	этом смысле	3	6
78	в то	11	6
79	за пределы	3	6
80	в его	21	6
81	на самом	9	6
82	самом деле	10	6
83	в своем	2	5
84	не знал	2	5
85	или иной	4	5
86	мы уже	8	5
87	той или	4	5
88	в котором	3	5
89	мы должны	3	5
90	с тем	3	5
91	то в	2	5
92	но уже	2	5
93	все равно	2	5
94	совсем не	3	4
95	тому что	2	4
96	не в	10	4
97	в дальнейшем	2	4
98	мы говорили	2	4
99	или в	2	4
100	а в	7	4
101	их в	2	4
102	ни на	2	4
103	как он	2	4
104	конце концов	3	4
105	с которыми	2	4
106	он есть	2	4
107	что тут	2	4
108	как в	5	4
109	только на	4	4
110	и ни	2	4
111	и для	8	4
112	мы можем	2	4
113	и вообще	2	4
114	что вы	2	3
115	уже в	3	3
116	что это	4	3
117	что не	4	3
118	в этих	2	3
119	в отношении	9	3
120	с другой	4	3
121	что все	2	3
122	знал что	3	3
123	что его	2	3
124	но все	4	3
125	что они	6	3
126	но для	2	3
127	всяком случае	4	3
128	хотя бы	2	3
129	из них	3	3
130	другой стороны	3	3
131	для этого	2	3
132	и его	14	3
133	что оно	2	3
134	в которых	2	3
135	же и	4	3
136	с этим	3	3
137	но он	4	3
138	точки зрения	7	3
139	но ведь	2	3
140	с ним	7	3
141	или как	3	3
142	уже и	2	3
143	для себя	7	3
144	и во	3	3
145	в жизни	2	3
146	не хочет	2	3
147	в ее	3	3
148	как и	18	3
149	здесь в	2	3
150	но именно	2	3
151	мы увидим	2	3
152	к тому	6	3
153	он не	13	3
154	о нем	2	3
155	и делает	4	3
156	говорит о	2	3
157	быть и	2	3
158	да и	5	3
159	уже не	3	3
160	на этот	2	3
161	к нему	13	3
162	с точки	2	3
163	себе но	2	3
164	можно было	2	3
165	пока еще	2	3
166	как будто	4	3
167	в чем	4	3
168	он сам	6	2
169	все время	4	2
170	друг другу	4	2
171	вообще не	2	2
172	уже с	2	2
173	слово о	7	2
174	но только	3	2
175	без всякого	2	2
176	я вам	5	2
177	но что	2	2
178	для него	14	2
179	например в	2	2
180	из подполья	35	2
181	на его	4	2
182	не о	4	2
183	в него	3	2
184	которого он	3	2
185	должно быть	3	2
186	особенно в	2	2
187	и с	12	2
188	не как	3	2
189	в первом	2	2
190	я и	2	2
191	между тем	4	2
192	с собой	2	2
193	от другого	2	2
194	еще очень	2	2
195	с его	7	2
196	сознания и	4	2
197	виду и	2	2
198	однако в	2	2
199	и так	4	2
200	конечно в	2	2
201	и того	2	2
202	со всеми	3	2
203	в сущности	14	2
204	нет и	4	2
205	вместе с	2	2
206	только что	3	2
207	как его	3	2
208	с другими	2	2
209	тому как	2	2
210	говорили что	4	2
211	он в	4	2
212	подобно тому	2	2
213	в которой	2	2
214	в эту	4	2
215	этот раз	2	2
216	это было	2	2
