N	2gram	Nazirov_Tv_2	Freidism
1	таким образом	10	24
2	и не	9	23
3	не может	7	20
4	прежде всего	8	18
5	в этом	8	15
6	в его	10	15
7	в душе	4	13
8	может быть	8	13
9	и его	9	12
10	как и	6	11
11	как бы	11	11
12	то что	3	11
13	все эти	4	11
14	и потому	4	10
15	так и	6	10
16	самом деле	2	10
17	его в	3	10
18	с ним	3	10
19	но в	4	10
20	и в	20	9
21	по отношению	3	9
22	что он	6	8
23	отношению к	3	8
24	еще не	5	8
25	в своей	6	8
26	он не	3	8
27	не только	13	8
28	все это	6	8
29	то же	7	8
30	только в	2	8
31	так как	3	8
32	во всяком	2	7
33	один из	3	7
34	в самом	3	7
35	и наконец	2	7
36	всяком случае	2	7
37	никогда не	11	6
38	точку зрения	2	6
39	вовсе не	2	6
40	и ее	2	6
41	для него	3	6
42	так сказать	2	6
43	и с	8	6
44	он сам	3	5
45	связь с	2	5
46	не в	4	5
47	в этой	5	5
48	в чем	4	5
49	в то	10	5
50	что в	7	5
51	но и	8	5
52	по мнению	3	5
53	а в	4	5
54	и на	5	5
55	могут быть	2	5
56	не менее	2	4
57	но не	5	4
58	я не	2	4
59	в котором	3	4
60	и др	3	4
61	с другими	2	4
62	об этом	4	4
63	сводится к	2	4
64	же время	7	4
65	при этом	8	4
66	в основе	2	4
67	в нем	3	4
68	все же	5	4
69	не было	2	4
70	уже не	3	4
71	в которой	2	4
72	мы не	4	4
73	в таком	3	4
74	с ними	2	4
75	этот вопрос	3	4
76	потому что	7	4
77	говорить о	2	4
78	если бы	4	3
79	и есть	2	3
80	и от	4	3
81	в себе	3	3
82	но это	5	3
83	себя в	2	3
84	когда он	4	3
85	на него	2	3
86	вместе с	3	3
87	приводит к	2	3
88	как в	4	3
89	и что	2	3
90	на этот	2	3
91	и по	2	3
92	такой же	2	3
93	у него	6	3
94	в искусстве	2	3
95	но ведь	2	3
96	таком случае	2	3
97	одна из	3	3
98	не является	3	3
99	человека и	3	3
100	в силах	2	2
101	уже в	2	2
102	зависит от	2	2
103	человека в	3	2
104	с чувством	3	2
105	это уже	2	2
106	его и	2	2
107	с другой	2	2
108	это не	7	2
109	в конце	6	2
110	к этому	3	2
111	в такой	2	2
112	в ее	2	2
113	в основном	6	2
114	том что	4	2
115	более того	2	2
116	а не	6	2
117	из них	2	2
118	которой он	2	2
119	но если	2	2
120	в процессе	2	2
121	в этот	2	2
122	точка зрения	2	2
123	только для	2	2
124	в свой	2	2
125	сих пор	3	2
126	что она	4	2
127	в их	3	2
128	полную свободу	2	2
129	а с	3	2
130	в отличие	2	2
131	это прежде	2	2
132	и у	2	2
133	и даже	5	2
134	так же	5	2
135	рядом с	2	2
136	отличие от	2	2
137	роль в	2	2
138	мы видим	4	2
139	их в	2	2
140	в своих	3	2
141	из этой	2	2
142	и вообще	2	2
143	при помощи	2	2
144	до сих	3	2
145	только с	2	2
146	же с	9	2
147	и поэтому	2	2
