N	2gram	Losev_Vlad_2	FransuaR
1	и в	30	29
2	то есть	7	21
3	таким образом	3	20
4	и не	18	16
5	и все	7	13
6	в этой	4	13
7	как и	5	12
8	но в	8	12
9	так и	5	11
10	и на	4	11
11	в этом	20	11
12	то же	4	10
13	как мы	11	10
14	мы уже	2	10
15	в то	9	10
16	не только	12	10
17	вовсе не	4	9
18	в конце	13	9
19	но и	8	9
20	все эти	5	9
21	и с	14	9
22	его в	4	9
23	же время	3	8
24	прежде всего	6	8
25	в его	11	8
26	и его	6	8
27	как бы	5	8
28	в них	3	7
29	мы видели	2	7
30	еще и	6	7
31	так же	4	7
32	в том	18	7
33	так как	5	7
34	здесь в	2	6
35	в сущности	2	6
36	но он	3	6
37	что это	4	5
38	у него	19	5
39	это не	2	5
40	того же	5	5
41	до конца	7	5
42	и о	4	5
43	в нем	4	5
44	в своей	5	5
45	и до	2	5
46	и по	2	5
47	сказать что	11	5
48	он и	3	5
49	с его	4	4
50	что он	13	4
51	но это	4	4
52	по своему	2	4
53	есть и	2	4
54	и есть	2	4
55	которую он	7	4
56	конце концов	3	4
57	то что	20	4
58	жизни и	6	4
59	конечно не	4	4
60	все это	5	4
61	также и	6	4
62	в результате	5	4
63	точки зрения	7	4
64	в которой	4	4
65	всех этих	3	3
66	в частности	2	3
67	в своем	8	3
68	с начала	2	3
69	вот это	2	3
70	все же	9	3
71	том что	12	3
72	и как	3	3
73	в дальнейшем	5	3
74	то в	5	3
75	более или	3	3
76	церкви и	2	3
77	и сам	2	3
78	тот же	5	3
79	того что	5	3
80	той же	4	3
81	он не	4	3
82	к нему	2	3
83	начала и	2	3
84	здесь не	4	3
85	или менее	3	3
86	как к	2	3
87	при этом	5	3
88	в году	24	3
89	и вот	3	3
90	там же	12	3
91	того чтобы	2	3
92	для того	2	3
93	и даже	10	3
94	и вполне	3	3
95	в ней	4	3
96	же и	2	3
97	в себе	6	3
98	на эту	2	3
99	в чем	2	3
100	уже в	3	2
101	связи с	8	2
102	уже и	2	2
103	к этому	6	2
104	в этих	4	2
105	жизни в	2	2
106	другими словами	5	2
107	это в	3	2
108	у вас	2	2
109	к тому	2	2
110	и к	6	2
111	на первый	2	2
112	уже давно	2	2
113	им в	3	2
114	о его	5	2
115	ни в	7	2
116	он был	6	2
117	да и	3	2
118	из этого	5	2
119	что я	3	2
120	именно в	4	2
121	на этом	2	2
122	но не	3	2
123	то время	6	2
124	кроме того	9	2
125	не может	9	2
126	о чем	6	2
127	о своем	2	2
128	и мы	4	2
129	на его	4	2
130	может быть	7	2
131	между прочим	7	2
132	том же	3	2
133	хотя и	6	2
134	никогда не	7	2
135	уже не	3	2
136	а также	10	2
137	в виду	2	2
138	в котором	5	2
139	со стороны	4	2
140	на котором	2	2
141	и для	3	2
142	себя в	2	2
143	ни с	2	2
144	его и	2	2
145	как в	3	2
146	в их	2	2
147	не на	2	2
148	в трех	2	2
149	во второй	2	2
150	в той	2	2
151	всякого рода	6	2
152	и наконец	4	2
153	с точки	3	2
154	не столько	3	2
155	друг друга	2	2
156	не мог	8	2
157	где он	3	2
158	в своих	2	2
159	и то	5	2
160	их в	2	2
161	и при	2	2
162	даже и	3	2
163	как будто	2	2
164	только в	6	2
165	мы сказали	2	2
166	о том	4	2
167	как он	2	2
168	и это	3	2
169	дело в	3	2
170	нет ничего	3	2
171	с ним	5	2
172	учения о	3	2
173	в новом	2	2
