N	2gram	Tiupa_Disk_2	Stilisti
1	и в	16	42
2	как бы	4	27
3	не только	10	27
4	и т.п	12	24
5	прежде всего	7	22
6	внутренней речи	3	18
7	но и	11	15
8	то же	6	15
9	и не	15	14
10	может быть	16	12
11	не может	9	12
12	точки зрения	4	11
13	как и	16	11
14	и как	3	10
15	ситуации и	2	10
16	отнюдь не	6	10
17	в этом	16	10
18	при этом	17	9
19	в то	5	9
20	то что	5	9
21	все же	6	8
22	в ней	2	8
23	что же	2	8
24	тем самым	6	8
25	в себе	19	8
26	и это	2	8
27	никогда не	2	7
28	же время	5	7
29	и на	5	7
30	потому что	4	7
31	с его	6	7
32	а не	14	7
33	и его	3	7
34	только в	3	7
35	или иной	3	6
36	не в	3	6
37	в этой	4	6
38	в нем	7	6
39	так и	9	6
40	в области	2	6
41	не является	4	5
42	а в	2	5
43	и с	2	5
44	и наконец	3	5
45	или иного	2	5
46	одно и	2	5
47	в его	3	5
48	вместе с	2	5
49	в той	2	5
50	с точки	2	5
51	той же	2	5
52	можно сказать	3	4
53	было в	3	4
54	общения и	2	4
55	в качестве	16	4
56	той или	3	4
57	все это	2	4
58	о том	4	4
59	его в	3	4
60	но в	11	4
61	себя в	6	4
62	а с	5	4
63	к своему	2	4
64	уже не	3	4
65	и то	4	4
66	то есть	12	4
67	перед нами	3	3
68	это не	3	3
69	этом случае	2	3
70	в котором	3	3
71	в целом	2	3
72	не к	2	3
73	из них	3	3
74	жизни и	3	3
75	заключает в	2	3
76	их в	2	3
77	вследствие этого	2	3
78	и все	3	3
79	в одном	4	3
80	но при	2	3
81	том что	10	3
82	еще не	6	3
83	что и	2	3
84	и для	2	3
85	роль в	4	3
86	не знает	3	3
87	место в	2	2
88	в частности	12	2
89	человека в	4	2
90	как уже	2	2
91	не нужно	2	2
92	в мире	11	2
93	в том	8	2
94	но это	3	2
95	времени и	2	2
96	для него	5	2
97	в пределах	4	2
98	из двух	3	2
99	не с	2	2
100	в этих	3	2
101	отношение к	2	2
102	не было	3	2
103	этом отношении	4	2
104	все эти	3	2
105	должно быть	2	2
106	в своих	6	2
107	также и	3	2
108	по своей	6	2
109	мы имеем	2	2
110	я и	4	2
111	в основе	4	2
112	ни к	5	2
113	к этому	4	2
114	что он	2	2
115	на первый	2	2
116	а к	2	2
117	представляет собой	11	2
118	но не	7	2
119	слова не	2	2
120	в своей	6	2
121	с ней	2	2
122	как в	8	2
123	здесь не	2	2
124	первый взгляд	2	2
125	в языке	2	2
