N	3gram	Vinokur_Ku_3	EvropaiC
1	в том что	8	16
2	до сих пор	8	12
3	по отношению к	2	10
4	с точки зрения	16	8
5	более или менее	2	7
6	на самом деле	3	7
7	для того чтобы	11	6
8	в самом деле	11	5
9	лишь в том	2	5
10	не может быть	3	4
11	о том что	3	4
12	тем не менее	9	4
13	с другой стороны	3	4
14	в этом случае	4	4
15	к тому же	2	4
16	в том случае	4	4
17	и того же	2	3
18	в данном случае	4	3
19	одного и того	2	3
20	в связи с	4	3
21	с одной стороны	4	2
22	а с другой	3	2
23	при этом что	2	2
24	только то что	2	2
25	принять во внимание	2	2
