N	2gram	Propp_Isto_6	DiskursI
1	в качестве	3	34
2	не только	10	28
3	в том	12	23
4	а не	2	22
5	том что	10	19
6	тогда как	2	19
7	может быть	11	17
8	представляет собой	2	17
9	и в	26	16
10	как и	5	16
11	в этом	12	15
12	еще не	9	14
13	но и	9	14
14	при этом	3	13
15	прежде всего	4	11
16	но не	2	11
17	и не	10	11
18	с другой	10	10
19	как в	6	10
20	далеко не	3	10
21	в частности	3	9
22	в нем	8	9
23	отношению к	2	9
24	одной стороны	7	9
25	по отношению	2	9
26	не может	6	9
27	с одной	7	9
28	а также	4	8
29	своего рода	2	8
30	так и	5	8
31	о том	7	8
32	но в	7	8
33	в его	5	7
34	со стороны	3	7
35	то же	5	7
36	не было	3	7
37	в себе	3	7
38	только в	5	7
39	не в	3	7
40	в своем	2	6
41	и как	2	6
42	к тому	2	5
43	можно сказать	2	5
44	как бы	4	5
45	в своей	3	5
46	то что	6	5
47	а с	2	5
48	а в	3	5
49	сводится к	2	5
50	и на	12	5
51	в данном	3	5
52	с его	4	4
53	что в	12	4
54	в них	3	4
55	что он	9	4
56	уже не	7	4
57	на его	4	4
58	что не	2	4
59	в которых	2	4
60	потому что	13	4
61	могут быть	3	4
62	перед нами	2	3
63	в сказке	23	3
64	однако в	2	3
65	того же	2	3
66	это не	4	3
67	в одной	2	3
68	но при	2	3
69	что и	4	3
70	с этим	2	3
71	еще в	3	3
72	один из	3	3
73	в сказании	3	3
74	все же	8	3
75	таким образом	12	3
76	того что	2	3
77	должны быть	2	3
78	другой стороны	8	3
79	в своих	3	3
80	сказать что	3	3
81	тем что	5	3
82	в то	5	3
83	зависит от	4	2
84	никогда не	13	2
85	в греческой	3	2
86	о котором	2	2
87	к себе	2	2
88	представления о	10	2
89	в одном	3	2
90	к этому	3	2
91	не всегда	4	2
92	стороны и	2	2
93	в тех	3	2
94	в античной	2	2
95	отличается от	2	2
96	так например	3	2
97	античной греции	2	2
98	никого не	2	2
99	и др	2	2
100	например в	7	2
101	не могло	2	2
102	и тем	4	2
103	не есть	2	2
104	когда он	3	2
105	на том	8	2
106	в форме	2	2
107	что же	2	2
108	данном случае	3	2
109	целый ряд	2	2
110	в сказках	3	2
111	человека в	2	2
112	как мы	4	2
113	и что	5	2
114	и он	4	2
115	и по	4	2
116	и его	7	2
117	или в	3	2
118	во всяком	2	2
119	одну из	4	2
120	мы имеем	14	2
121	героя в	2	2
122	что касается	2	2
123	и ее	3	2
124	но как	4	2
125	в этой	2	2
126	они не	3	2
127	о чем	2	2
