N	2gram	Nazirov_Tr_1	Stilisti
1	и в	18	42
2	как бы	7	27
3	не только	8	27
4	прежде всего	4	22
5	но и	4	15
6	то же	5	15
7	и не	7	14
8	может быть	7	12
9	не может	5	12
10	как и	5	11
11	и как	3	10
12	отнюдь не	3	10
13	в этом	9	10
14	при этом	3	9
15	в то	5	9
16	то что	4	9
17	все же	5	8
18	с тем	2	8
19	тем самым	3	8
20	в себе	4	8
21	и это	2	8
22	никогда не	2	7
23	же время	6	7
24	и на	7	7
25	потому что	2	7
26	с его	2	7
27	и его	6	7
28	ничего не	2	7
29	не в	2	6
30	в этой	4	6
31	в конце	3	6
32	в нем	4	6
33	так и	5	6
34	уже в	3	5
35	и с	7	5
36	как это	3	5
37	в его	3	5
38	что это	5	4
39	не просто	2	4
40	к тому	2	4
41	но все	2	4
42	было в	2	4
43	в самом	2	4
44	один из	3	4
45	все это	4	4
46	так же	4	4
47	о том	2	4
48	его в	2	4
49	но в	6	4
50	если б	2	4
51	уже не	2	4
52	и то	2	4
53	то есть	3	4
54	перед нами	2	3
55	это не	5	3
56	не мог	2	3
57	в целом	4	3
58	иван петрович	3	3
59	и даже	4	3
60	не так	2	3
61	и здесь	2	3
62	и все	4	3
63	в одном	2	3
64	но при	2	3
65	об этом	4	3
66	в ее	2	3
67	том что	4	3
68	еще не	4	3
69	что и	2	3
70	вряд ли	2	3
71	в душе	2	2
72	бы и	2	2
73	в частности	2	2
74	вопрос о	2	2
75	в мире	3	2
76	в том	2	2
77	но это	4	2
78	для него	3	2
79	до конца	2	2
80	и сам	3	2
81	несмотря на	5	2
82	отношение к	2	2
83	все эти	3	2
84	но эта	2	2
85	должно быть	3	2
86	что эти	2	2
87	что он	6	2
88	даже на	2	2
89	как в	3	2
90	и он	3	2
91	к нему	3	2
92	в дальнейшем	5	2
93	с ним	3	2
94	тем что	2	2
