N	3gram	Vygotskiy__1	Problema
1	и т д	8	13
2	тем не менее	2	10
3	в том что	9	9
4	сама по себе	2	8
5	то же самое	2	7
6	во всяком случае	6	6
7	с другой стороны	5	5
8	не может быть	8	5
9	в то время	5	4
10	в таком случае	2	4
11	то время как	5	4
12	тех или иных	2	4
13	потому что он	2	4
14	не было бы	2	3
15	как будто бы	2	3
16	то что у	3	3
17	точно так же	3	3
18	о том что	7	3
19	в конце концов	3	3
20	само по себе	5	3
21	заключается в том	6	3
22	то есть в	2	3
23	по себе а	2	3
24	что и в	2	3
25	то или иное	2	2
26	хотя и не	2	2
27	с точки зрения	2	2
28	в отличие от	3	2
29	никак не может	2	2
30	и если мы	2	2
31	до сих пор	3	2
32	этой точки зрения	5	2
33	в настоящее время	2	2
34	заключается только в	2	2
35	на самом деле	2	2
