N	2gram	Tiupa_Lite_3	Istorich
1	что он	5	24
2	не только	14	18
3	может быть	12	17
4	никогда не	4	15
5	и в	16	15
6	но и	14	14
7	так же	2	13
8	что в	2	12
9	а в	5	12
10	то что	12	12
11	и не	22	11
12	в этом	14	11
13	его в	2	10
14	то же	9	10
15	еще не	6	9
16	все же	2	9
17	в другом	6	9
18	потому что	3	9
19	связи с	2	8
20	один из	2	8
21	том что	8	7
22	в нем	2	7
23	вместе с	5	7
24	не в	10	7
25	в его	6	6
26	как бы	8	6
27	то это	2	6
28	что и	2	6
29	в том	12	6
30	только в	7	6
31	но в	3	6
32	прежде всего	3	5
33	в одном	4	5
34	к тому	6	5
35	как в	5	5
36	было бы	2	5
37	так и	9	5
38	не может	8	5
39	а не	12	5
40	и наконец	3	5
41	представляет собой	2	5
42	с одной	4	4
43	вопрос о	2	4
44	в этой	8	4
45	при этом	15	4
46	о нем	2	4
47	и с	2	4
48	тем что	2	4
49	и на	2	4
50	в себе	6	4
51	в качестве	5	3
52	и его	6	3
53	на то	2	3
54	как это	3	3
55	одной стороны	4	3
56	о том	6	3
57	герой в	2	3
58	отношению к	4	3
59	когда он	2	3
60	а именно	5	3
61	по отношению	4	3
62	того что	9	3
63	право на	2	3
64	тому как	3	3
65	в работе	2	3
66	он в	2	3
67	эти слова	2	3
68	подобно тому	2	3
69	он и	2	3
70	как будто	4	3
71	если это	2	3
72	я не	2	2
73	себя и	2	2
74	пути в	4	2
75	с другой	6	2
76	это не	5	2
77	но с	2	2
78	в жизни	8	2
79	к себе	8	2
80	все еще	3	2
81	с которой	2	2
82	не знает	2	2
83	и вместе	2	2
84	что у	2	2
85	а затем	3	2
86	именно в	5	2
87	по существу	4	2
88	как и	5	2
89	но не	4	2
90	одно из	4	2
91	того чтобы	2	2
92	и если	4	2
93	например в	3	2
94	на его	3	2
95	и для	4	2
96	а также	4	2
97	ее в	2	2
98	с ее	3	2
99	из них	4	2
100	во всех	2	2
101	и только	2	2
102	другой стороны	2	2
103	той же	3	2
104	с образом	2	2
105	человека в	2	2
106	самом деле	3	2
107	тем самым	7	2
108	с ними	2	2
109	она и	2	2
110	состоит в	6	2
111	и ее	2	2
112	здесь не	2	2
113	тому же	5	2
