N	2gram	Trubetskoy_1	Vladivir
1	и в	26	30
2	то что	7	20
3	в этом	15	20
4	в том	11	18
5	и не	8	18
6	и с	10	14
7	что он	4	13
8	в конце	6	13
9	том что	7	12
10	что в	9	12
11	не только	10	12
12	в его	5	11
13	а в	4	11
14	сказать что	2	11
15	а также	2	10
16	и даже	3	10
17	не было	2	10
18	не в	2	9
19	для него	3	9
20	все же	6	9
21	потому что	7	9
22	не может	4	9
23	в то	4	9
24	связи с	9	8
25	в своем	3	8
26	вместе с	15	8
27	но и	9	8
28	в связи	3	8
29	но в	7	8
30	не менее	3	7
31	никогда не	5	7
32	точки зрения	13	7
33	и все	2	7
34	может быть	10	7
35	а не	5	7
36	то есть	4	7
37	к этому	3	6
38	прежде всего	2	6
39	и к	5	6
40	тем не	3	6
41	только в	4	6
42	всяком случае	6	6
43	во всяком	6	6
44	в себе	6	6
45	жизни и	2	6
46	к концу	3	5
47	так что	3	5
48	при этом	3	5
49	того же	6	5
50	тот же	2	5
51	как бы	12	5
52	в котором	4	5
53	так и	6	5
54	все это	6	5
55	в течение	4	5
56	и что	4	5
57	того что	3	5
58	в результате	3	5
59	все эти	6	5
60	так как	9	5
61	из этого	2	5
62	с его	2	4
63	именно в	2	4
64	с этой	3	4
65	после смерти	10	4
66	все существующее	2	4
67	можно сказать	3	4
68	в этой	4	4
69	и если	3	4
70	что это	3	4
71	конечно не	2	4
72	несмотря на	6	4
73	и о	3	4
74	он не	4	4
75	в нем	4	4
76	крайней мере	5	4
77	в этих	4	4
78	то же	4	4
79	ко всему	2	4
80	и наконец	2	4
81	на этот	4	4
82	так же	5	4
83	и на	2	4
84	в начале	2	4
85	мы должны	6	4
86	о том	6	4
87	в которой	3	4
88	по крайней	5	4
89	отношение к	5	4
90	учение о	4	3
91	уже в	2	3
92	должен был	4	3
93	в них	2	3
94	в отношении	6	3
95	хотя бы	3	3
96	из этих	10	3
97	точно так	3	3
98	же время	2	3
99	в свою	2	3
100	что и	6	3
101	духовного развития	2	3
102	по существу	2	3
103	и как	3	3
104	более или	5	3
105	но не	8	3
106	и для	5	3
107	вплоть до	2	3
108	так или	3	3
109	и особенно	2	3
110	с точки	6	3
111	во всех	2	3
112	или менее	5	3
113	таким образом	22	3
114	те же	2	3
115	и больше	2	3
116	уже не	3	3
117	наконец в	2	3
118	в таком	3	3
119	или иначе	3	3
120	в виде	4	3
121	и это	2	3
122	в россии	2	3
123	конце концов	3	3
124	в области	9	3
125	в русском	2	2
126	к нему	7	2
127	с тем	18	2
128	но по	3	2
129	очень много	2	2
130	и от	4	2
131	если не	2	2
132	этот период	2	2
133	тогда когда	2	2
134	на все	2	2
135	мы видели	2	2
136	этого последнего	2	2
137	к тому	6	2
138	уже давно	2	2
139	ему в	2	2
140	в общем	8	2
141	жизни по	2	2
142	по своему	2	2
143	и из	2	2
144	не могла	2	2
145	в самом	4	2
146	на то	2	2
147	и потому	6	2
148	не вполне	3	2
149	для того	5	2
150	в виду	2	2
151	не имеет	5	2
152	можно назвать	2	2
153	с ней	3	2
154	иной раз	2	2
155	начиная с	2	2
156	но все	7	2
157	того чтобы	5	2
158	и по	4	2
159	его не	2	2
160	то с	3	2
161	всем и	2	2
162	и при	3	2
163	еще на	2	2
164	к его	2	2
165	или по	2	2
166	что эти	3	2
167	при жизни	4	2
168	в новом	2	2
