N	2gram	Losev_Prob_2	formyVre
1	и в	35	50
2	то есть	39	33
3	в этом	17	25
4	прежде всего	11	15
5	и не	37	14
6	как мы	5	14
7	вовсе не	37	13
8	как раз	8	13
9	в его	7	13
10	так и	7	12
11	может быть	18	11
12	таким образом	4	11
13	мы уже	3	11
14	то же	5	11
15	и как	4	10
16	но в	6	10
17	в конце	7	9
18	в том	12	9
19	и др	2	9
20	все эти	7	9
21	в то	6	9
22	не только	24	9
23	роль в	2	9
24	ничего не	10	9
25	в самом	5	8
26	и т	6	8
27	и их	3	8
28	но и	16	8
29	и на	5	8
30	как и	5	8
31	ни в	6	8
32	не было	3	7
33	в условиях	2	7
34	для себя	9	7
35	все же	8	6
36	в частности	5	6
37	в их	3	6
38	не может	13	6
39	лишь в	3	6
40	так же	5	6
41	в результате	4	6
42	так как	7	6
43	с этим	5	6
44	и все	5	6
45	и того	3	6
46	связи с	5	6
47	во всех	2	6
48	то что	38	6
49	что в	11	5
50	не в	2	5
51	с самим	3	5
52	значение в	4	5
53	в связи	5	5
54	только и	3	5
55	в основе	3	5
56	точки зрения	2	5
57	всех этих	4	5
58	но все	2	5
59	если бы	4	5
60	отнюдь не	5	5
61	но не	4	5
62	еще не	10	5
63	он не	2	5
64	и речи	3	5
65	того чтобы	2	5
66	для того	3	5
67	том числе	2	4
68	время и	2	4
69	в своем	4	4
70	мы и	6	4
71	кроме того	5	4
72	и следовательно	4	4
73	на этой	2	4
74	все это	4	4
75	между этими	2	4
76	не имеет	7	4
77	потому что	13	4
78	и с	10	4
79	в ней	2	4
80	именно как	4	4
81	нет ничего	2	4
82	между собой	5	4
83	в них	2	4
84	конечно не	2	4
85	или как	2	4
86	в той	2	4
87	том что	19	4
88	и для	6	4
89	и то	10	4
90	только в	14	4
91	и это	5	4
92	здесь не	2	4
93	не могут	4	3
94	мы еще	3	3
95	в этих	4	3
96	в отношении	4	3
97	большую роль	2	3
98	к тому	3	3
99	да и	10	3
100	с тем	3	3
101	при этом	3	3
102	себе и	2	3
103	хотя и	3	3
104	в виду	8	3
105	один из	3	3
106	с одной	5	3
107	но эта	3	3
108	в одно	2	3
109	а в	4	3
110	вообще не	4	3
111	их в	4	3
112	сказать что	24	3
113	его в	3	3
114	для них	3	3
115	в какой-то	2	3
116	был бы	6	3
117	не знает	3	3
118	значение и	8	3
119	есть не	6	3
120	в качестве	2	3
121	по преимуществу	2	3
122	и времени	2	3
123	что и	2	3
124	вместе с	2	3
125	сих пор	4	3
126	только на	9	3
127	всем этим	3	3
128	еще более	2	3
129	а не	10	3
130	что не	5	3
131	мы не	7	3
132	в таком	11	3
133	или в	2	3
134	с другими	5	3
135	нас в	3	3
136	во всяком	13	3
137	быть только	3	3
138	и ее	2	3
139	в себе	5	3
140	входит в	2	3
141	до сих	4	3
142	уже в	3	2
143	совсем не	7	2
144	самого начала	2	2
145	в нашем	3	2
146	до наших	2	2
147	с другой	6	2
148	никто не	3	2
149	это то	5	2
150	что все	6	2
151	вопрос о	3	2
152	или иной	5	2
153	а только	6	2
154	для нас	9	2
155	его от	2	2
156	с самого	3	2
157	есть в	4	2
158	числе и	2	2
159	смысле слова	7	2
160	одной стороны	5	2
161	не о	6	2
162	есть только	8	2
163	в целом	3	2
164	ни с	2	2
165	еще и	5	2
166	можно только	2	2
167	всякого рода	4	2
168	того что	12	2
169	и даже	11	2
170	и по	3	2
171	этим мы	2	2
172	или не	2	2
173	также и	12	2
174	точном смысле	2	2
175	же и	2	2
176	той или	5	2
177	и является	3	2
178	в истории	3	2
179	что мы	14	2
180	мы должны	3	2
181	здесь только	3	2
182	для всех	2	2
183	друг к	2	2
184	не является	7	2
185	раз и	5	2
186	тогда когда	3	2
187	ясно что	8	2
188	по себе	8	2
189	стороны и	4	2
190	и к	3	2
191	об этом	2	2
192	время не	2	2
193	не столь	2	2
194	одна из	3	2
195	во все	2	2
196	есть именно	5	2
197	с этими	2	2
198	было бы	8	2
199	не являются	3	2
200	по самому	3	2
201	а также	2	2
202	нет и	3	2
203	оно не	3	2
204	к другу	2	2
205	как бы	4	2
206	все другие	2	2
207	быть и	2	2
208	даже не	3	2
209	оказывается что	3	2
210	и прежде	2	2
211	совершенно не	2	2
212	разного рода	4	2
213	если мы	9	2
214	уже не	8	2
215	в значительной	3	2
216	хотя бы	12	2
217	той же	2	2
218	в данном	10	2
219	тем что	4	2
220	в каком	4	2
221	и вообще	16	2
222	далеко не	4	2
223	слова и	4	2
224	здесь как	2	2
