N	2gram	Vygotskiy__5	Dialekti
1	не есть	4	40
2	и не	12	30
3	и есть	7	19
4	а не	10	18
5	может быть	9	17
6	ничего не	5	17
7	то что	26	16
8	и в	16	15
9	как бы	5	14
10	не имеет	4	14
11	так как	16	14
12	точки зрения	18	14
13	это есть	4	13
14	того что	16	13
15	по себе	7	13
16	это не	4	12
17	прежде всего	3	11
18	в том	18	11
19	не может	18	11
20	говорить о	3	11
21	в этом	25	11
22	в основе	8	10
23	потому что	21	10
24	том что	15	10
25	было бы	10	9
26	в виду	2	9
27	все это	2	9
28	мы не	3	9
29	и что	12	9
30	это и	3	9
31	то же	8	9
32	с точки	9	9
33	значит что	5	9
34	не в	6	8
35	это значит	5	8
36	не только	16	8
37	в чем	3	8
38	что в	16	7
39	должна быть	5	7
40	что оно	6	7
41	что мы	4	7
42	что он	25	7
43	как и	8	7
44	и его	3	7
45	только в	10	7
46	так что	4	6
47	и тем	3	6
48	и даже	2	6
49	в результате	4	6
50	сказать что	13	6
51	вовсе не	2	6
52	ни на	2	6
53	если бы	8	6
54	тем более	4	6
55	в то	5	6
56	что и	3	6
57	в меру	4	5
58	я не	2	5
59	сама по	4	5
60	так и	7	5
61	в своем	5	5
62	можно сказать	5	5
63	не говорит	2	5
64	но что	3	5
65	того чтобы	17	5
66	в ней	2	5
67	но если	6	5
68	в сфере	5	5
69	в нем	7	5
70	что она	2	5
71	но только	2	5
72	в свете	4	5
73	таким образом	19	5
74	именно в	4	5
75	знания и	2	5
76	и на	6	5
77	о том	8	5
78	тогда когда	5	5
79	в жизни	2	5
80	быть в	2	5
81	есть не	2	5
82	то в	3	5
83	что я	2	5
84	учение о	2	5
85	в смысле	3	5
86	в сущности	13	5
87	в себя	3	5
88	если мы	7	5
89	для того	14	5
90	той же	4	5
91	что все	6	4
92	и как	3	4
93	но это	3	4
94	в этой	6	4
95	что они	5	4
96	жизни и	2	4
97	но и	6	4
98	и отношение	2	4
99	так же	15	4
100	само по	2	4
101	или не	2	4
102	и с	3	4
103	мы должны	8	4
104	в одном	3	4
105	с тем	3	4
106	меру того	2	4
107	видим что	2	4
108	мы видим	4	4
109	ничего общего	3	4
110	с их	4	4
111	еще не	4	4
112	бы в	4	4
113	должны быть	2	4
114	хотя бы	5	4
115	тому как	4	4
116	в силу	10	4
117	в его	11	4
118	подобно тому	4	4
119	только для	2	3
120	что если	4	3
121	на этом	3	3
122	тем самым	8	3
123	в свою	4	3
124	и следовательно	6	3
125	себя и	2	3
126	совершенно не	2	3
127	к жизни	3	3
128	в их	3	3
129	отношения к	2	3
130	все эти	4	3
131	с этим	3	3
132	в истории	2	3
133	это понятие	2	3
134	с ним	5	3
135	это будет	2	3
136	но в	6	3
137	сознания и	2	3
138	только не	3	3
139	к этому	3	3
140	лежит в	2	3
141	у нас	2	3
142	мы имели	2	3
143	общего с	2	3
144	за пределы	4	3
145	в своей	2	3
146	и потому	2	3
147	говорит о	3	3
148	когда он	2	3
149	как в	5	3
150	на основании	2	3
151	из которых	3	3
152	вот почему	3	3
153	и то	4	3
154	мы можем	6	3
155	могут быть	4	3
156	в области	12	3
157	как чисто	2	2
158	не менее	3	2
159	не могут	4	2
160	мы будем	2	2
161	по типу	2	2
162	в частности	3	2
163	в отношении	9	2
164	говорили мы	2	2
165	с этой	4	2
166	на все	5	2
167	вопрос о	12	2
168	показывает что	5	2
169	но все	2	2
170	совершенно ясно	2	2
171	заключается в	5	2
172	свою очередь	3	2
173	и может	3	2
174	не дает	2	2
175	что с	5	2
176	при этом	4	2
177	в самом	4	2
178	совпадает с	2	2
179	никогда не	5	2
180	в котором	2	2
181	но мы	5	2
182	из них	2	2
183	и их	4	2
184	бы чудом	3	2
185	и требует	2	2
186	другой стороны	2	2
187	то и	2	2
188	от того	3	2
189	этой точки	4	2
190	во внимание	2	2
191	и по	4	2
192	должно быть	8	2
193	самое что	2	2
194	но как	3	2
195	во всем	2	2
196	как это	8	2
197	том как	2	2
198	но они	2	2
199	функций и	5	2
200	тем или	2	2
201	в них	2	2
202	сравнению с	5	2
203	мы нашли	2	2
204	что было	2	2
205	все же	3	2
206	в качестве	4	2
207	все что	2	2
208	одной из	3	2
209	и из	2	2
210	никто не	2	2
211	никак не	3	2
212	в свое	2	2
213	в этот	2	2
214	по сравнению	5	2
215	во всех	2	2
216	вместе с	4	2
217	ее в	3	2
218	сделать это	2	2
219	находится в	2	2
220	того как	5	2
221	все равно	2	2
222	только что	5	2
223	ничто не	2	2
224	во всяком	2	2
225	тем что	5	2
226	как будто	2	2
227	и другое	4	2
228	мы говорим	2	2
229	что эта	3	2
230	в которой	5	2
231	отличие от	2	2
