N	2gram	Losev_Vlad_1	Otkroven
1	у него	15	22
2	и в	31	19
3	но и	19	13
4	и не	17	13
5	в этом	14	12
6	не в	5	11
7	может быть	6	11
8	не только	24	11
9	и все	4	10
10	в нем	4	10
11	никогда не	9	9
12	не было	5	9
13	потому что	11	9
14	и он	3	8
15	он был	14	8
16	ни с	4	7
17	лишь в	2	7
18	но он	5	7
19	от него	2	7
20	он не	10	7
21	в его	12	7
22	все это	5	6
23	как и	4	6
24	него в	2	5
25	то что	18	5
26	а в	9	5
27	отношение к	3	5
28	о его	2	5
29	в том	11	5
30	для него	7	5
31	в этой	4	5
32	в самом	2	5
33	в россии	4	5
34	с его	11	4
35	он сам	2	4
36	того чтобы	2	4
37	и его	7	4
38	все эти	3	4
39	не может	6	4
40	что в	14	4
41	к нему	4	3
42	мысли и	4	3
43	и вот	3	3
44	что он	12	3
45	того что	2	3
46	для того	2	3
47	хотя бы	2	3
48	в своих	5	3
49	еще не	2	3
50	и от	5	3
51	все что	2	3
52	в себе	4	3
53	было бы	2	3
54	когда он	5	3
55	о том	11	3
56	с ним	5	3
57	это было	6	3
58	в этот	4	2
59	уже в	7	2
60	все же	3	2
61	что и	5	2
62	он в	3	2
63	и для	2	2
64	с тем	2	2
65	было всего	2	2
66	в истории	4	2
67	так и	6	2
68	не очень	5	2
69	в своем	4	2
70	что у	4	2
71	что же	5	2
72	как к	2	2
73	что все	2	2
74	к этому	6	2
75	и к	6	2
76	и никогда	2	2
77	и очень	3	2
78	о которой	3	2
79	в которой	4	2
80	что для	4	2
81	том что	14	2
82	так что	10	2
83	своей жизни	2	2
84	и на	3	2
85	и то	10	2
86	что они	3	2
87	сказать что	7	2
88	и с	14	2
89	учение о	2	2
90	совсем не	4	2
91	тем что	2	2
92	ума и	2	2
93	даже и	9	2
94	него не	3	2
95	рационализма и	2	2
96	в своей	4	2
97	и ни	2	2
98	так как	8	2
99	и о	2	2
100	к этой	2	2
101	ничего не	3	2
102	и из	3	2
103	хотя и	4	2
104	которую он	2	2
105	к ней	4	2
106	но в	12	2
107	и потому	6	2
