N	2gram	Medvedev_U_1	Analitik
1	может быть	6	29
2	в том	2	27
3	не может	7	22
4	и не	8	21
5	в частности	3	19
6	и в	14	18
7	а не	10	17
8	но и	4	17
9	не только	10	15
10	не в	2	14
11	как и	3	13
12	в его	2	13
13	в этом	7	13
14	том что	2	12
15	в себе	2	11
16	эстетического объекта	6	11
17	но не	2	10
18	то же	5	9
19	в то	3	9
20	не есть	2	8
21	но в	3	8
22	это не	3	6
23	прежде всего	8	6
24	же время	3	6
25	в самом	2	6
26	то что	7	6
27	в своей	3	6
28	только в	2	6
29	художественного произведения	2	5
30	в этой	4	5
31	художественное произведение	5	5
32	в их	4	5
33	сводится к	2	5
34	между тем	2	5
35	истории литературы	3	4
36	могут быть	2	4
37	конечном счете	4	4
38	с другой	4	4
39	по себе	2	4
40	в широком	2	4
41	в области	3	4
42	в конечном	4	4
43	все же	3	4
44	ни было	3	4
45	более чем	2	4
46	не следует	3	4
47	не могут	2	3
48	с его	2	3
49	то ни	3	3
50	хотя бы	5	3
51	что он	2	3
52	одним из	2	3
53	что и	2	3
54	бы то	3	3
55	таким образом	2	3
56	не случайно	2	3
57	что мы	2	3
58	вопроса о	2	3
59	произведения искусства	3	3
60	в художественном	5	3
61	если бы	2	3
62	и то	3	2
63	его и	2	2
64	для этого	3	2
65	не столько	2	2
66	или иных	2	2
67	а как	2	2
68	тех или	2	2
69	в искусстве	6	2
70	в противовес	2	2
71	для него	3	2
72	было бы	3	2
73	не о	3	2
74	и является	2	2
75	не все	2	2
76	на каждом	2	2
77	другой стороны	3	2
78	этом отношении	2	2
79	самом деле	2	2
80	художественного творчества	5	2
81	же самое	2	2
82	могли бы	2	2
83	и с	2	2
