N	2gram	Tiupa_Narr_1	Istorich
1	что он	6	24
2	не только	32	18
3	может быть	25	17
4	никогда не	3	15
5	и в	19	15
6	мы имеем	2	15
7	но и	23	14
8	так же	2	13
9	что в	3	12
10	а в	11	12
11	то что	11	12
12	и не	20	11
13	в этом	17	11
14	что они	3	10
15	его в	2	10
16	то же	4	10
17	еще не	7	9
18	все же	7	9
19	связи с	4	8
20	один из	3	8
21	он не	3	8
22	том что	14	7
23	в нем	4	7
24	смерти и	2	7
25	не в	14	7
26	ничего не	2	7
27	точно так	2	6
28	что это	3	6
29	наряду с	2	6
30	в его	9	6
31	как бы	4	6
32	в том	18	6
33	только в	4	6
34	но в	6	6
35	прежде всего	4	5
36	к тому	7	5
37	но все	4	5
38	как в	7	5
39	она не	2	5
40	было бы	4	5
41	же как	3	5
42	в иной	2	5
43	на него	3	5
44	так и	9	5
45	не может	10	5
46	в связи	2	5
47	а не	12	5
48	к нему	5	5
49	можно было	2	5
50	представляет собой	13	5
51	к которому	2	5
52	с одной	7	4
53	и др	2	4
54	у него	4	4
55	в этой	5	4
56	при этом	9	4
57	одной из	4	4
58	в область	2	4
59	в ней	3	4
60	о нем	4	4
61	у нее	2	4
62	они не	2	4
63	и с	4	4
64	тем что	3	4
65	и на	3	4
66	в себе	8	4
67	все эти	2	4
68	в качестве	21	3
69	не мог	4	3
70	и его	5	3
71	из этих	3	3
72	встречается в	2	3
73	как это	6	3
74	одной стороны	7	3
75	мог бы	3	3
76	о том	6	3
77	отношению к	6	3
78	когда он	3	3
79	а именно	3	3
80	по отношению	7	3
81	хотя в	2	3
82	в себя	6	3
83	роль в	2	3
84	тому как	2	3
85	подобно тому	2	3
86	как будто	3	3
87	что мы	2	3
88	представляют собой	2	3
89	уже в	3	2
90	зависит от	2	2
91	не было	2	2
92	на другой	2	2
93	могут быть	3	2
94	себя и	2	2
95	о своей	2	2
96	перед нами	4	2
97	с другой	8	2
98	это не	2	2
99	не столько	4	2
100	к себе	5	2
101	что у	2	2
102	ни в	3	2
103	да и	4	2
104	именно в	6	2
105	по существу	2	2
106	как и	7	2
107	в силу	4	2
108	одна из	3	2
109	но не	5	2
110	одно из	2	2
111	не что	2	2
112	например в	2	2
113	и для	2	2
114	в сущности	3	2
115	и когда	2	2
116	а также	7	2
117	обратимся к	3	2
118	не все	5	2
119	хотя бы	4	2
120	с ее	3	2
121	из них	3	2
122	приводит к	2	2
123	и только	2	2
124	другой стороны	4	2
125	а с	3	2
126	ключ к	2	2
127	человека в	2	2
128	когда мы	2	2
129	самом деле	2	2
130	тем самым	6	2
131	или в	2	2
132	сказать что	4	2
133	состоит в	13	2
134	и ее	2	2
135	что иное	2	2
136	будто бы	3	2
137	здесь не	4	2
138	в особенности	4	2
139	иное как	2	2
140	тому же	5	2
