N	2gram	Tiupa_Hudo_2	NovoeSre
1	а не	14	17
2	не может	4	16
3	и в	28	16
4	и не	18	11
5	что в	5	9
6	жизни и	6	8
7	он не	4	8
8	в том	15	8
9	не будет	2	7
10	как и	11	7
11	в этом	13	7
12	может быть	8	7
13	с его	5	6
14	никогда не	5	6
15	не в	13	6
16	лишь в	2	6
17	в нем	3	5
18	все это	3	5
19	в жизни	8	5
20	с ее	5	5
21	и к	2	5
22	в ней	3	5
23	не только	11	5
24	не менее	5	4
25	то что	6	4
26	в них	3	4
27	это не	6	4
28	не во	2	4
29	и все	7	4
30	не было	6	4
31	и для	2	4
32	потому что	2	4
33	прежде всего	3	4
34	о том	12	4
35	жизни не	2	3
36	но и	9	3
37	в своей	6	3
38	жизни в	7	3
39	с другой	3	3
40	человека и	3	3
41	в духе	2	3
42	к тому	7	3
43	в мире	7	3
44	в ее	18	3
45	в основе	2	3
46	подобно тому	4	3
47	как в	5	3
48	она не	5	3
49	еще не	3	3
50	тому как	4	3
51	наряду с	5	3
52	сказать что	2	3
53	это было	2	3
54	что все	3	2
55	жизни как	5	2
56	я не	7	2
57	все время	3	2
58	себя в	8	2
59	место в	2	2
60	у него	5	2
61	вместе с	2	2
62	все они	3	2
63	так и	8	2
64	что она	7	2
65	мысли и	2	2
66	который в	2	2
67	личность в	3	2
68	и от	2	2
69	и было	2	2
70	а в	6	2
71	с одной	3	2
72	уже не	10	2
73	роль в	2	2
74	того чтобы	4	2
75	одной стороны	3	2
76	хотя бы	2	2
77	но не	4	2
78	так же	3	2
79	том что	19	2
80	можно было	3	2
81	же как	2	2
82	одна из	2	2
83	и с	6	2
84	и на	3	2
85	в себе	9	2
86	в то	6	2
87	не могла	5	2
88	как будто	4	2
89	и это	3	2
90	как это	7	2
91	но в	2	2
