N	2gram	Nazirov_Tr_1	Marksizm
1	может быть	7	26
2	и не	7	26
3	не может	5	24
4	и в	18	19
5	и его	6	19
6	в этом	9	16
7	как бы	7	15
8	прежде всего	4	13
9	как и	5	12
10	так и	5	11
11	в самом	2	10
12	в нем	4	10
13	для него	3	9
14	при этом	3	8
15	но и	4	8
16	друг друга	2	8
17	не только	8	8
18	все же	5	8
19	то что	4	8
20	все эти	3	7
21	так же	4	7
22	но в	6	7
23	в ее	2	7
24	то же	5	7
25	в том	2	6
26	и здесь	2	6
27	отнюдь не	3	6
28	в основном	3	6
29	в его	3	6
30	ничего не	2	6
31	в конце	3	5
32	не в	2	5
33	до конца	2	5
34	и все	4	5
35	в отличие	2	5
36	отличие от	2	5
37	что в	4	4
38	вопрос о	2	4
39	как же	2	4
40	и на	7	4
41	еще не	4	4
42	как в	3	4
43	в данном	2	4
44	а как	2	3
45	и как	3	3
46	в дальнейшем	5	3
47	же время	6	3
48	все это	4	3
49	не имеет	2	3
50	в то	5	3
51	его в	2	3
52	не могут	2	3
53	том что	4	3
54	он не	2	3
55	в первом	2	3
56	но все	2	3
57	и ее	2	3
58	и это	2	3
59	в частности	2	2
60	никогда не	2	2
61	в своем	3	2
62	что все	2	2
63	ни в	2	2
64	мог бы	3	2
65	с ее	3	2
66	не просто	2	2
67	между этими	2	2
68	и даже	4	2
69	должно быть	3	2
70	о том	2	2
71	и с	7	2
72	но при	2	2
73	что он	6	2
74	в себе	4	2
75	в романе	10	2
76	одна из	2	2
77	к тому	2	2
78	что и	2	2
79	бы и	2	2
80	и он	3	2
81	в таком	2	2
82	тем что	2	2
83	этими двумя	2	2
