N	2gram	Losev_Vlad_2	KulturaY
1	и в	30	23
2	точки зрения	7	23
3	в том	18	22
4	не только	12	17
5	было бы	9	16
6	в этом	20	16
7	с точки	3	16
8	в области	3	14
9	может быть	7	14
10	что в	12	13
11	в самом	2	13
12	не менее	7	12
13	для того	2	12
14	потому что	9	12
15	том что	12	11
16	а не	7	11
17	того что	5	11
18	в его	11	11
19	того чтобы	2	11
20	можно было	2	11
21	у нас	6	10
22	и не	18	10
23	можно говорить	3	10
24	прежде всего	6	9
25	тем не	6	9
26	хотя бы	3	9
27	таким образом	3	9
28	так как	5	9
29	между прочим	7	8
30	уже не	3	8
31	в виду	2	8
32	те же	3	7
33	и что	5	7
34	должно быть	3	7
35	в данном	3	7
36	сказать что	11	7
37	все эти	5	7
38	как это	7	7
39	того как	2	7
40	с тем	2	6
41	по себе	5	6
42	что и	3	6
43	что он	13	6
44	после того	2	6
45	тот же	5	6
46	при этом	5	6
47	так и	5	6
48	в их	2	6
49	не может	9	6
50	то же	4	6
51	в общем	2	6
52	связи с	8	6
53	только в	6	6
54	о том	4	6
55	ничего не	2	6
56	что же	8	5
57	я не	4	5
58	и есть	2	5
59	вовсе не	4	5
60	как и	5	5
61	не в	9	5
62	здесь можно	2	5
63	хотя и	6	5
64	как бы	5	5
65	всякого рода	6	5
66	все же	9	5
67	в связи	8	5
68	как мы	11	5
69	а в	11	5
70	но это	4	5
71	также и	6	5
72	тем более	3	5
73	из этих	3	5
74	в чем	2	5
75	а также	10	4
76	для нас	7	4
77	только тогда	2	4
78	в целом	4	4
79	того же	5	4
80	в сущности	2	4
81	в своей	5	4
82	том чтобы	2	4
83	и о	4	4
84	то что	20	4
85	данном случае	2	4
86	как в	3	4
87	в своем	8	4
88	не было	10	4
89	в той	2	4
90	заключается в	2	4
91	что не	2	4
92	в таком	3	4
93	не столько	3	4
94	учения о	3	4
95	тогда когда	2	4
96	уже в	3	3
97	что это	4	3
98	это не	2	3
99	именно в	4	3
100	к тому	2	3
101	и к	6	3
102	в отношении	3	3
103	ни в	7	3
104	с этой	4	3
105	по существу	3	3
106	мы видели	2	3
107	то в	5	3
108	но не	3	3
109	по поводу	4	3
110	он не	4	3
111	то это	4	3
112	не есть	4	3
113	отношение к	4	3
114	время в	4	3
115	но и	8	3
116	а именно	6	3
117	только после	2	3
118	мы находим	2	3
119	и вот	3	3
120	мы не	2	3
121	в ней	4	3
122	не имеет	2	3
123	и с	14	3
124	той же	4	3
125	нас в	2	3
126	в результате	5	3
127	сам по	2	3
128	в то	9	3
129	я в	3	3
130	она не	2	3
131	мы должны	4	3
132	когда мы	3	3
133	я и	2	3
134	учение о	3	2
135	все это	5	2
136	французском языке	3	2
137	а что	2	2
138	но все	2	2
139	о чем	6	2
140	в частности	2	2
141	себе представить	2	2
142	эти последние	4	2
143	раз и	2	2
144	это в	3	2
145	и я	5	2
146	быть в	3	2
147	же это	2	2
148	можно сказать	4	2
149	к его	2	2
150	в защиту	2	2
151	и как	3	2
152	в дальнейшем	5	2
153	и при	2	2
154	более или	3	2
155	по своему	2	2
156	а то	2	2
157	также что	2	2
158	кроме того	9	2
159	и если	4	2
160	конечно не	4	2
161	в статье	2	2
162	никак не	3	2
163	что если	2	2
164	не о	2	2
165	в котором	5	2
166	однако в	2	2
167	его в	4	2
168	в печати	2	2
169	говоря уже	2	2
170	вместе с	8	2
171	не говоря	3	2
172	уже о	2	2
173	или менее	3	2
174	он пишет	2	2
175	мысли и	2	2
176	в отличие	3	2
177	как к	2	2
178	как я	2	2
179	от нас	2	2
180	еще более	3	2
181	в двух	2	2
182	на этот	4	2
183	и нужно	2	2
184	очень плохо	2	2
185	так же	4	2
186	очень много	2	2
187	во всяком	6	2
188	которое в	2	2
189	а вот	2	2
190	на этом	2	2
191	в русском	2	2
192	что эти	2	2
193	еще и	6	2
194	как он	2	2
195	в этих	4	2
196	в россии	3	2
197	здесь не	4	2
198	не то	3	2
199	отличие от	3	2
200	но в	8	2
201	еще на	2	2
202	для меня	4	2
