N	2gram	Nazirov_Tv_1	VelikijI
1	во имя	2	32
2	и не	7	20
3	и в	21	16
4	свободы и	2	12
5	то что	8	9
6	так как	3	9
7	на земле	3	7
8	а не	5	7
9	человека и	4	6
10	бога и	2	5
11	в мире	4	5
12	хотя и	3	5
13	как бы	17	5
14	но и	3	5
15	все это	10	5
16	того что	3	5
17	что все	3	4
18	что он	6	4
19	в нем	3	4
20	как и	12	4
21	в котором	6	4
22	так и	2	4
23	добра и	3	4
24	что не	2	4
25	потому что	5	4
26	в этом	6	4
27	в ней	2	4
28	и все	6	4
29	в его	13	4
30	с его	11	3
31	что в	12	3
32	в этих	2	3
33	в жизни	2	3
34	в том	7	3
35	не в	2	3
36	но это	5	3
37	и будет	2	3
38	что я	3	3
39	тот же	2	3
40	к тому	2	3
41	никогда не	3	3
42	что и	2	3
43	людей в	2	3
44	и против	2	3
45	жизни и	3	3
46	в своей	4	3
47	за то	2	3
48	хотя бы	5	3
49	личности и	2	3
50	что ты	2	3
51	в чем	2	3
52	но в	7	3
53	верит в	2	2
54	человека как	2	2
55	это не	4	2
56	в духе	2	2
57	прежде всего	4	2
58	ее и	2	2
59	том что	11	2
60	когда я	2	2
61	одна из	2	2
62	но не	3	2
63	для него	6	2
64	вслед за	2	2
65	не только	7	2
66	один из	4	2
67	и т	3	2
68	не будет	2	2
69	во главе	2	2
70	на том	2	2
71	и зла	2	2
72	ее в	3	2
73	в себя	2	2
74	уже не	3	2
75	не так	3	2
76	вот почему	3	2
77	для человека	3	2
78	а в	6	2
79	с ним	3	2
80	людей и	2	2
81	могут быть	2	2
82	о свободе	3	2
83	только в	5	2
84	мира в	2	2
