N	2gram	Nazirov_Tr_1	Formalny
1	и в	18	38
2	в этом	9	27
3	может быть	7	23
4	и его	6	21
5	и не	7	20
6	в самом	2	16
7	прежде всего	4	15
8	не в	2	15
9	не может	5	14
10	в нем	4	13
11	но и	4	13
12	с его	2	11
13	с тем	2	11
14	в том	2	11
15	в его	3	10
16	и с	7	9
17	как и	5	9
18	при этом	3	9
19	не только	8	9
20	отнюдь не	3	8
21	что и	2	8
22	все же	5	8
23	так и	5	8
24	тем что	2	8
25	что в	4	7
26	не могут	2	7
27	для него	3	7
28	уже не	2	7
29	в первом	2	7
30	то что	4	6
31	и ее	2	6
32	в этой	4	6
33	то же	5	6
34	все эти	3	6
35	он не	2	6
36	что он	6	5
37	же время	6	5
38	в то	5	5
39	раз и	2	4
40	к тому	2	4
41	в дальнейшем	5	4
42	чем он	2	4
43	как бы	7	4
44	как в	3	4
45	и даже	4	4
46	ничего не	2	4
47	но в	6	4
48	а как	2	3
49	и здесь	2	3
50	и как	3	3
51	но все	2	3
52	в целом	4	3
53	и до	2	3
54	все это	4	3
55	то и	2	3
56	к нему	3	3
57	между этими	2	3
58	и на	7	3
59	он и	2	3
60	и все	4	3
61	его в	2	3
62	что это	5	3
63	уже в	3	2
64	никогда не	2	2
65	перед нами	2	2
66	столь же	2	2
67	это не	5	2
68	в конце	3	2
69	не просто	2	2
70	в ее	2	2
71	до конца	2	2
72	том что	4	2
73	но это	4	2
74	было в	2	2
75	не так	2	2
76	он был	2	2
77	один из	3	2
78	отношение к	2	2
79	ни в	2	2
80	в известной	2	2
81	тем самым	3	2
82	не имеет	2	2
83	должно быть	3	2
84	отличие от	2	2
85	в таком	2	2
86	вряд ли	2	2
87	и то	2	2
88	ничем не	2	2
89	в отличие	2	2
90	и это	2	2
91	этими двумя	2	2
92	потому что	2	2
93	как это	3	2
94	с ним	3	2
