N	2gram	Losev_Vlad_2	Komedia
1	и в	30	22
2	и не	18	21
3	том что	12	13
4	в том	18	12
5	таким образом	3	12
6	со стороны	4	11
7	так как	5	11
8	ни в	7	10
9	потому что	9	10
10	в самом	2	9
11	вместе с	8	9
12	в своем	8	8
13	что он	13	8
14	к ней	3	8
15	в его	11	8
16	что и	3	8
17	в этом	20	8
18	о том	4	8
19	его в	4	8
20	о чем	6	7
21	об этом	6	7
22	при этом	5	7
23	в свою	3	7
24	то же	4	7
25	едва ли	3	7
26	а в	11	7
27	в конце	13	7
28	к этому	6	6
29	свою очередь	2	6
30	того же	5	6
31	для того	2	6
32	к тому	2	6
33	может быть	7	6
34	и что	5	6
35	того чтобы	2	6
36	так что	5	6
37	и его	6	6
38	в то	9	6
39	не менее	7	5
40	связи с	8	5
41	что в	12	5
42	же время	3	5
43	прежде всего	6	5
44	то это	4	5
45	что его	4	5
46	как это	7	5
47	и сам	2	5
48	хотя и	6	5
49	не только	12	5
50	в своей	5	5
51	отношение к	4	5
52	все это	5	5
53	он не	4	5
54	к нему	2	5
55	с ним	5	5
56	но в	8	5
57	с тем	2	4
58	но все	2	4
59	должен был	3	4
60	у него	19	4
61	однако в	2	4
62	вовсе не	4	4
63	он был	6	4
64	все же	9	4
65	не в	9	4
66	до конца	7	4
67	несмотря на	4	4
68	в ней	4	4
69	тем более	3	4
70	то что	20	4
71	но и	8	4
72	в отношении	3	4
73	а не	7	4
74	и для	3	4
75	друг друга	2	4
76	так же	4	4
77	тут же	2	4
78	точки зрения	7	4
79	само собой	3	4
80	в себе	6	4
81	в связи	8	4
82	так и	5	4
83	хотя бы	3	4
84	и с	14	4
85	с его	4	3
86	в частности	2	3
87	никогда не	7	3
88	в них	3	3
89	с этой	4	3
90	с этим	5	3
91	себе в	2	3
92	если не	2	3
93	в нем	4	3
94	на то	2	3
95	нисколько не	2	3
96	и к	6	3
97	тем не	6	3
98	как и	5	3
99	в начале	4	3
100	в этой	4	3
101	по своему	2	3
102	было бы	9	3
103	и мы	4	3
104	конечно не	4	3
105	на этот	4	3
106	как бы	5	3
107	в целом	4	3
108	не может	9	3
109	не могла	2	3
110	в течение	5	3
111	в двух	2	3
112	возможно что	2	3
113	что не	2	3
114	с точки	3	3
115	и даже	10	3
116	не имеет	2	3
117	их в	2	3
118	во всяком	6	3
119	не о	2	3
120	как он	2	3
121	в которой	4	3
122	ничего не	2	3
123	всяком случае	6	3
124	под влиянием	3	2
125	уже в	3	2
126	отрывок из	2	2
127	больше того	2	2
128	как в	3	2
129	к концу	5	2
130	это не	2	2
131	и особенно	3	2
132	и все	7	2
133	это в	3	2
134	и я	5	2
135	нет никаких	2	2
136	разумеется что	2	2
137	о его	5	2
138	мы знаем	4	2
139	без всякого	2	2
140	отличие от	3	2
141	по существу	3	2
142	которой мы	2	2
143	из его	2	2
144	она не	2	2
145	и хотя	2	2
146	то время	6	2
147	тот же	5	2
148	он называет	3	2
149	не мог	8	2
150	и если	4	2
151	на его	4	2
152	в сущности	2	2
153	и о	4	2
154	которую он	7	2
155	конце концов	3	2
156	а также	10	2
157	и он	4	2
158	в котором	5	2
159	так или	3	2
160	с известной	2	2
161	во всех	3	2
162	наряду с	2	2
163	в их	2	2
164	как мы	11	2
165	вплоть до	3	2
166	его не	2	2
167	отношения к	3	2
168	не было	10	2
169	в рукописи	2	2
170	время как	2	2
171	мы не	2	2
172	что для	2	2
173	в таком	3	2
174	можно было	2	2
175	или иначе	3	2
176	собой разумеется	3	2
177	в своих	2	2
178	и на	4	2
179	с п	12	2
180	в результате	5	2
181	и во	2	2
182	г в	2	2
183	что касается	3	2
184	он и	3	2
185	его на	3	2
186	и это	3	2
187	нет ничего	3	2
188	из этого	5	2
189	здесь не	4	2
190	этот раз	3	2
191	к этой	2	2
192	в области	3	2
193	в виду	2	2
