N	2gram	Nazirov_Vr_1	Formalny
1	и в	8	38
2	в этом	8	27
3	т е	3	26
4	может быть	4	23
5	и его	3	21
6	таким образом	2	20
7	и не	5	20
8	не может	2	14
9	в нем	6	13
10	но и	7	13
11	связи с	3	13
12	с его	3	11
13	в том	3	11
14	в его	3	10
15	в связи	3	10
16	и с	6	9
17	как и	6	9
18	при этом	4	9
19	не только	9	9
20	отнюдь не	2	8
21	все же	6	8
22	тем что	3	8
23	точки зрения	2	8
24	что в	7	7
25	для него	2	7
26	в своей	2	7
27	уже не	2	7
28	с точки	2	7
29	не было	5	6
30	то что	7	6
31	в истории	4	6
32	и ее	2	6
33	в ней	4	6
34	в этой	2	6
35	вместе с	2	6
36	то же	5	6
37	как раз	2	6
38	он не	3	6
39	а в	2	6
40	что он	4	5
41	же время	5	5
42	в то	5	5
43	к этому	3	4
44	как бы	4	4
45	из них	2	4
46	и даже	6	4
47	но в	6	4
48	же как	2	3
49	место в	2	3
50	мы знаем	2	3
51	и как	3	3
52	время и	2	3
53	его с	2	3
54	все это	4	3
55	так в	2	3
56	и все	7	3
57	его в	3	3
58	уже в	4	2
59	никогда не	2	2
60	столь же	2	2
61	это не	4	2
62	в конце	3	2
63	с нею	2	2
64	том что	3	2
65	но это	2	2
66	но как	2	2
67	на первый	2	2
68	и о	3	2
69	в котором	6	2
70	он был	3	2
71	отношение к	2	2
72	он пишет	2	2
73	в в	2	2
74	в той	2	2
75	и то	2	2
76	их в	2	2
77	между тем	5	2
78	при помощи	2	2
79	и это	2	2
80	в чем	3	2
81	с ним	4	2
82	в виду	4	2
