N	3gram	Vinokur_Ku_3	StatiiOP
1	и т д	8	21
2	в том что	8	17
3	о том что	3	11
4	для того чтобы	11	10
5	и т п	41	9
6	можно было бы	10	8
7	с точки зрения	16	8
8	до сих пор	8	7
9	в данном случае	4	6
10	на самом деле	3	6
11	с другой стороны	3	6
12	в самом деле	11	5
13	не может быть	3	5
14	и в области	3	4
15	не только в	3	4
16	того или иного	3	4
17	в своей статье	2	4
18	так и в	3	4
19	что и в	2	4
20	и в самом	4	3
21	т п в	3	3
22	и в этом	4	3
23	только в том	2	3
24	по отношению к	2	3
25	то или иное	2	3
26	в том числе	2	2
27	на точку зрения	2	2
28	в свое время	2	2
29	тем более что	2	2
30	то обстоятельство что	3	2
31	с одной стороны	4	2
32	тем не менее	9	2
33	в этом случае	4	2
34	в первую очередь	3	2
35	и тем же	2	2
36	дело не в	2	2
37	одним и тем	2	2
38	не в том	2	2
39	но если это	2	2
