N	2gram	Tiupa_Hudo_1	VrazhdaK
1	в году	2	18
2	не только	16	9
3	в этом	11	8
4	и что	3	8
5	и в	19	8
6	но и	10	7
7	что в	6	7
8	то что	4	7
9	в нем	5	6
10	в романе	3	6
11	как и	2	6
12	но в	7	6
13	то же	10	5
14	и не	15	5
15	об этом	2	5
16	между тем	4	5
17	в то	6	5
18	же время	5	5
19	как бы	9	4
20	все это	2	4
21	это не	2	4
22	что он	3	4
23	так же	2	4
24	с ним	2	4
25	может быть	14	4
26	при этом	13	4
27	о том	2	4
28	в виду	5	4
29	я не	2	3
30	с его	6	3
31	русской литературе	2	3
32	в своем	2	3
33	о себе	2	3
34	в том	18	3
35	и его	12	3
36	том что	8	3
37	и как	3	3
38	в его	9	3
39	далеко не	2	3
40	в русской	3	3
41	его в	2	3
42	но он	3	3
43	и о	3	3
44	в чем	2	3
45	он не	4	3
46	и т.п	4	2
47	место в	4	2
48	а с	2	2
49	в своей	5	2
50	и это	2	2
51	не менее	3	2
52	никогда не	2	2
53	отнюдь не	2	2
54	в них	2	2
55	человека с	3	2
56	как раз	3	2
57	так в	4	2
58	не может	7	2
59	а в	12	2
60	тогда как	13	2
61	отношения к	2	2
62	таким образом	3	2
63	начиная с	2	2
64	в той	3	2
65	уже не	4	2
66	в повести	2	2
67	с точки	3	2
68	на основе	2	2
69	в этой	2	2
70	и то	4	2
71	их в	3	2
72	в момент	2	2
73	но как	2	2
74	точки зрения	10	2
75	в свою	3	2
76	и ее	3	2
77	в себе	9	2
78	отношение к	5	2
79	для него	4	2
80	еще не	3	2
81	о чем	2	2
82	в мире	21	2
83	одна из	2	2
84	а также	5	2
